iRating;iId;sType;sMovie;iYear;sCountry;sGenre;sDirector;sActors;sAward
77,10%;2279;m;Ve vaně;2014;Česko;Krátkometrážní / Komedie;Václav Fronk, Jakub Machala;Karel Zima, Iveta Jiřičková;
76,90%;2301;st;Jedlíci brambor;2014;Česko;Animovaný / Krátkometrážní;Martin Kukal;;
75,50%;2394;st;Energy;2014;Česko;Krátkometrážní;Matej Pavla;Matej Pavla, Viliam Vilkolák;
75,10%;2411;st;Kašlete na předsudky;2014;Česko;Krátkometrážní / Komedie;Filip Oberfalcer;;
74,70%;2426;m;Kukuřičný ostrov;2014;Gruzie / Německo;Drama;Georgij Ovašvili;İlyas Salman, Mariam Buturishvili;
73,60%;2471;st;Zápletka;2014;Česko;Animovaný / Krátkometrážní;Stanislav Sekela;;
73,20%;2482;m;Fair Play;2014;Česko / Slovensko;Drama / Sportovní;Andrea Sedláčková;Judit Pecháček, Aňa Geislerová;
68,90%;2573;m;Fíha tralala - Farebný svet;2014;Slovensko;Hudební / Pohádka;Martina Jelenová;;
;2612;m;Zimní spánek;2014;Turecko;;Nuri Bilge Ceylan;;Cannes
;2613;m;Cesta ven;2014;Česko;;Petr Václav;;Český lev
;2614;m;Olga;2014;Česko;Dokument;Miroslav Janek;;Český lev - doku
;2665;m;Dead Island 2;2014;Velká Británie;Krátkometrážní / Animovaný;;;
91,80%;72;s;Best of the Worst;2013;USA;Komedie;Mike Stoklasa, Jay Bauman;Mike Stoklasa, Jay Bauman;
90,60%;116;s;Gangy z Birminghamu;2013;Velká Británie;Krimi / Drama;Otto Bathurst, Tom Harper;Cillian Murphy, Sam Neill;
90,20%;137;s;Domek z karet;2013;USA;Drama;David Fincher, Joel Schumacher;Kevin Spacey, Robin Wright;
90,00%;140;s;Rick a Morty;2013;USA;Animovaný / Dobrodružný;Dominic Polcino, Stephen Sandoval;Chris Parnell, Sarah Chalke;
90,00%;141;s;Válečná generace;2013;Německo;Válečný / Historický;Philipp Kadelbach;Volker Bruch, Tom Schilling;
89,70%;165;m;Rivalové;2013;USA / Velká Británie;Drama / Životopisný;Ron Howard;Chris Hemsworth, Daniel Brühl;
87,90%;301;s;Šingeki no kjodžin;2013;Japonsko;Animovaný / Akční;Tecuró Araki, Jošijuki Fudžiwara;Romi Paku, Akeno Watanabe;
86,30%;506;s;Vikingové;2013;Irsko / Kanada;Akční / Drama;Johan Renck, Ciaran Donnelly;Travis Fimmel, Katheryn Winnick;
86,10%;535;m;Zmizení;2013;USA;Thriller / Mysteriózní;Denis Villeneuve;Hugh Jackman, Jake Gyllenhaal;
85,30%;694;m;Sowon;2013;Jižní Korea;Drama;Joon-ik Lee;Re Lee, Kjong-gu Sol;
85,20%;722;st;Králík a srna;2013;Maďarsko;Krátkometrážní / Animovaný;Péter Vácz;Péter Vácz, Dániel Czupi;
84,90%;812;s;Derek;2013;Velká Británie;Komedie / Drama;Ricky Gervais;Ricky Gervais, Kerry Godliman;
84,90%;813;st;Třída smrti;2013;Česko;Krátkometrážní / Animovaný;Pavel Soukup;Matouš Ruml;
84,80%;837;s;Wentworth;2013;Austrálie;Krimi / Drama;Kevin Carlin, Steve Jodrell;Danielle Cormack, Kate Atkinson;
84,70%;879;m;Život je úžasný;2013;Polsko;Drama / Životopisný;Maciej Pieprzyca;Dawid Ogrodnik, Arkadiusz Jakubik;
84,70%;880;s;Broadchurch;2013;Velká Británie;Drama / Krimi;Euros Lyn, James Strong;David Tennant, Olivia Colman;
84,30%;1032;s;Pád;2013;Velká Británie;Drama / Thriller;Allan Cubitt, Jakob Verbruggen;Gillian Anderson, Jamie Dornan;
84,30%;1033;s;Jízlivě tvůj;2013;Velká Británie;Komedie;Ed Bye, Ben Kellett;Ian McKellen, Derek Jacobi;
84,20%;1071;s;Brooklyn 99;2013;USA;Komedie / Krimi;Dean Holland, Michael McDonald;Andy Samberg, Stephanie Beatriz;
84,20%;1072;st;Pandy;2013;Slovensko / Česko;Krátkometrážní / Animovaný;Matúš Vizár;;
84,10%;1108;m;Kapitán Phillips;2013;USA;Životopisný / Thriller;Paul Greengrass;Tom Hanks, Catherine Keener;
83,90%;1171;m;Batman: Návrat Temného rytíře, část 2.;2013;USA;Animovaný / Akční;Jay Oliva, Gyeong-Ho Choi;Peter Weller, Ariel Winter;
83,90%;1172;s;Banshee;2013;USA;Krimi / Drama;Greg Yaitanes, S.J. Clarkson;Antony Starr, Ivana Miličević;
83,80%;1208;m;Metro Manila;2013;Filipíny / Velká Británie;Drama / Krimi;Sean Ellis;Jake Macapagal, John Arcilla;
83,60%;1262;st;Papírový svět;2013;Maďarsko;Animovaný / Krátkometrážní;Dávid Ringeisen, László Ruska;;
83,60%;1263;st;Symfonie č. 42;2013;Maďarsko;Krátkometrážní / Animovaný;Réka Bucsi;;
83,50%;1285;m;Vlk z Wall Street;2013;USA;Životopisný / Komedie;Martin Scorsese;Leonardo DiCaprio, Jonah Hill;
83,40%;1325;s;My Mad Fat Diary;2013;Velká Británie;Komedie / Drama;Tim Kirkby, Benjamin Caron;Sharon Rooney, Jodie Comer;
83,40%;1326;s;Milenec z vesmíru;2013;Jižní Korea;Drama / Romantický;Tae-yoo Jang, Choong-hwan Oh;Ji-hyeon Jeon, Soo-hyeon Kim;
83,40%;1345;m;Sound City;2013;USA;Dokumentární / Hudební;Dave Grohl;Trent Reznor, Tom Petty;
83,10%;1411;m;Nejvyšší nabídka;2013;Itálie;Drama / Romantický;Giuseppe Tornatore;Geoffrey Rush, Jim Sturgess;
83,10%;1412;m;Berserk: Ógon džidai hen III – Kórin;2013;Japonsko;Animovaný / Akční;Tošijuki Kubooka, Kóiči Hacumi;Akio Ócuka, Aki Tojosaki;
82,70%;1561;s;Ray Donovan;2013;USA;Krimi / Drama;Allen Coulter, Greg Yaitanes;Liev Schreiber, Paula Malcomson;
82,60%;1597;s;Orange Is the New Black;2013;USA;Drama / Komedie;Michael Trim, Andrew McCarthy;Taylor Schilling, Laura Prepon;
82,30%;1678;m;Příběh o princezně Kaguje;2013;Japonsko;Animovaný / Fantasy;Isao Takahata;Aki Asakura, Kengo Kóra;
82,10%;1746;m;V zajetí démonů;2013;USA;Horor / Thriller;James Wan;Vera Farmiga, Patrick Wilson;
82,10%;1747;m;Klub poslední naděje;2013;USA;Drama / Životopisný;Jean-Marc Vallée;Matthew McConaughey, Jared Leto;
80,50%;1990;st;Mythopolis;2013;Česko;Krátkometrážní / Animovaný;Alexandra Májová;Martin Máj, Radovan Klučka;
80,30%;2010;st;Nový druh;2013;Česko;Krátkometrážní / Animovaný;Kateřina Karhánková;;
80,00%;2032;st;Message from Dement;2013;Česko;Drama;Tomáš Elšík;;
78,80%;2130;m;Loučka 1945;2013;Česko;Krátkometrážní / Drama;David Kočár;;
78,50%;2158;m;Ještě něco;2013;Česko;Krátkometrážní / Animovaný;Michal Opitz;;
78,20%;2189;st;Tři dny;2013;Česko;Krátkometrážní / Drama;Daniel Nováček;Anežka Kubátová, Kateřina Rakovčíková;
77,70%;2239;m;Metallica: Through the Never;2013;USA;Hudební / Akční;Nimród Antal;Lars Ulrich, James Hetfield;
76,40%;2339;st;Ocenění;2013;Dánsko;Krátkometrážní / Animovaný;Mikkel Mainz Elkjær, Kenneth Ladekjær;Mikkel Mainz Elkjær, Kenneth Ladekjær;
76,30%;2344;st;Pan Mrkev;2013;Slovensko;Krátkometrážní / Animovaný;Tomáš Danay;;
76,00%;2371;m;CBGB: Kolébka punku;2013;USA;Hudební / Drama;Randall Miller;Alan Rickman, Malin Åkerman;
75,50%;2395;st;Cizinec;2013;Česko;Krátkometrážní / Animovaný;Martin Máj;;
75,20%;2407;st;Ty se máš!;2013;Česko;Krátkometrážní / Animovaný;Zuzana Brachaczková;;
74,60%;2435;st;Malý Cousteau;2013;Česko;Krátkometrážní / Animovaný;Jakub Kouřil;;
74,30%;2449;m;Příběh kmotra;2013;Česko;Drama / Krimi;Petr Nikolaev;Ondřej Vetchý, Lukáš Vaculík;
74,00%;2456;st;Orfeova pieseň;2013;Slovensko;Krátkometrážní / Drama;Roman Gregorička;Juraj Hrčka, Peter Kadlečík;
73,30%;2480;st;Brain Divided;2013;USA;Krátkometrážní / Animovaný;Josiah Haworth, Joon Soo Song;Andrew Racho, Kristen Gish;
70,80%;2545;m;M is for Malnutrition;2013;Slovensko;Krátkometrážní / Horor;Peter Czikrai;Judit Pecháček, Michal Rovňák;
66,90%;2586;m;Kandidát;2013;Česko / Slovensko;Thriller / Komedie;Jonáš Karásek;Marek Majeský, Monika Hilmerová;
66,80%;2587;m;Colette;2013;Česko / Slovensko;Životopisný / Válečný;Milan Cieslar;Clémence Thioly, Jiří Mádl;
;2615;m;Život Adele;2013;Francie;;Abdellatif Kechiche;;Cannes
;2616;m;Hořící keř;2013;Česko;;Agnieszka Holland;;Český lev
;2617;m;Šmejdi;2013;Česko;Dokument;Silvie Dymáková;;Český lev - doku
;2666;m;I Am Hardwell;2013;Nizozemsko / USA;Dokumentární / Hudební;;;
97,50%;6;m;Parkway Drive: Home Is for the Heartless;2012;USA;Dokumentární / Hudební;Ben Gordon;Winston McCall, Ben Gordon;
95,10%;16;m;A Year with Armin van Buuren;2012;Nizozemsko;Hudební / Dokumentární;Armin van Buuren, Ferry Corsten;;
89,00%;206;m;Les Svíb;2012;Česko;Krátkometrážní / Válečný;Ondřej Hejna;Martin Šesták, Radek Balcárek;
88,50%;244;s;Městečko Záhad;2012;USA;Animovaný / Komedie;Joe Pitt, John Aoshima;Jason Ritter, Alex Hirsch;
88,20%;268;m;Nespoutaný Django;2012;USA;Western / Dobrodružný;Quentin Tarantino;Jamie Foxx, Christoph Waltz;
88,10%;282;m;Freddie Mercury: Příběh;2012;Velká Británie;Dokumentární / Hudební;Rhys Thomas;Freddie Mercury, Brian May;
87,80%;309;m;Hon;2012;Dánsko / Švédsko;Drama;Thomas Vinterberg;Mads Mikkelsen, Thomas Bo Larsen;
87,50%;352;m;Pink Floyd: The Story of Wish You Were Here;2012;Velká Británie;Dokumentární / Hudební;John Edginton;Roger Waters, David Gilmour;
87,10%;395;m;Síň slávy televizní zábavy - Jan Werich;2012;Česko;Komedie / Hudební;Jan Werich;;
86,50%;475;m;Temný rytíř povstal;2012;USA / Velká Británie;Akční / Krimi;Christopher Nolan;Christian Bale, Gary Oldman;
86,50%;476;s;Newsroom;2012;USA;Drama;Alan Poul, Greg Mottola;Jeff Daniels, Emily Mortimer;
86,30%;518;m;Pátrání po Sugar Manovi;2012;Švédsko / Velká Británie;Dokumentární / Hudební;Malik Bendjelloul;Rodriguez, Malik Bendjelloul;
86,10%;553;m;Crossfire Hurricane;2012;Velká Británie / USA;Dokumentární / Životopisný;Brett Morgen;Mick Jagger, Keith Richards;
86,00%;558;s;Endeavour;2012;Velká Británie;Krimi / Drama;Edward Bazalgette, Colm McCarthy;Shaun Evans, Roger Allam;
85,70%;629;m;The Chemical Brothers: Don’t Think;2012;Japonsko / Velká Británie;Hudební / Dokumentární;Adam Smith;Tom Rowlands;
85,20%;745;m;Legion of the Black;2012;USA;Hudební;Patrick Fogarty;Andy Biersack, Anne McDaniels;
84,70%;881;s;Zavolejte porodní sestřičky;2012;Velká Británie;Drama / Historický;Jamie Payne, Juliet May;Vanessa Redgrave, Jenny Agutter;
84,60%;917;s;Line of Duty;2012;Velká Británie;Krimi / Drama;David Caffrey, Douglas Mackinnon;Martin Compston, Vicky McClure;
84,50%;955;s;Hatfieldovi a McCoyovi;2012;USA;Western / Drama;Kevin Reynolds;Kevin Costner, Bill Paxton;
84,50%;956;s;Key and Peele;2012;USA;Komedie;Peter Atencio, Payman Benz;Keegan-Michael Key, Jordan Peele;
84,10%;1135;m;Marley;2012;USA;Dokumentární / Hudební;Kevin Macdonald;Bob Marley, Jimmy Cliff;
84,00%;1146;m;Vlčí děti;2012;Japonsko;Animovaný / Drama;Mamoru Hosoda;Aoi Mijazaki, Haru Kuroki;
84,00%;1147;m;Berserk: Ógon džidai hen II – Doldrey kórjaku;2012;Japonsko;Animovaný / Akční;Tošijuki Kubooka, Kóiči Hacumi;Aki Tojosaki, Nobujuki Kacube;
83,90%;1173;s;Kuroko no basket;2012;Japonsko;Animovaný / Drama;Šunsuke Tada, Kanta Kamei;Júki Ono, Kenšó Ono;
83,80%;1209;s;Brickleberry;2012;USA;Animovaný / Komedie;Zac Moncrief, Susie Dietter;Daniel Tosh, Kaitlin Olson;
83,60%;1264;m;Králův dvojník;2012;Jižní Korea;Historický / Drama;Chang-min Choo;Byung-hun Lee, Hyo-joo Han;
83,50%;1286;s;The Beauty Inside;2012;USA;Romantický / Drama;Drake Doremus;Topher Grace, Mary Elizabeth Winstead;
83,40%;1327;s;Psycho-Pass;2012;Japonsko;Animovaný / Akční;Kacujuki Motohiro, Sajo Jamamoto;Tomokazu Seki, Takahiro Sakurai;
83,30%;1355;s;V kruhu koruny;2012;Velká Británie;Drama / Historický;Rupert Goold, Richard Eyre;James Purefoy, Tom Hughes;
82,70%;1562;m;Avengers;2012;USA;Akční / Dobrodružný;Joss Whedon;Robert Downey Jr., Jeremy Renner;
82,60%;1598;s;Legenda Korry;2012;USA;Animovaný / Akční;Ian Graham, Colin Heck;Janet Varney, Jeff Bennett;
82,40%;1652;m;Berserk: Ógon džidai hen I – Haó no tamago;2012;Japonsko;Animovaný / Akční;Tošijuki Kubooka, Kóiči Hacumi;Aki Tojosaki, Nobujuki Kacube;
82,00%;1777;s;Ripper Street;2012;Velká Británie;Krimi / Drama;Andy Wilson, Tom Shankland;Matthew Macfadyen, Jerome Flynn;
81,90%;1823;m;Něco z ničeho: umění rapu;2012;Velká Británie / USA;Dokumentární / Hudební;Ice-T, Andy Baybutt;Common, Anthony 'Treach' Criss;
81,60%;1876;m;Skyfall;2012;Velká Británie / USA;Akční / Dobrodružný;Sam Mendes;Daniel Craig, Judi Dench;
81,60%;1877;m;Ten, kdo stojí v koutě;2012;USA;Drama / Romantický;Stephen Chbosky;Logan Lerman, Emma Watson;
81,60%;1878;m;Raubíř Ralf;2012;USA;Animovaný / Dobrodružný;Rich Moore;John C. Reilly, Sarah Silverman;
81,50%;1900;m;Odpojit;2012;USA;Drama / Thriller;Henry Alex Rubin;Frank Grillo, Alexander Skarsgård;
81,50%;1901;m;Rallye Kampa-Petřín;2012;Česko;Krátkometrážní / Animovaný;Jaromír Bosák;;
81,40%;1915;m;Hobit: Neočekávaná cesta;2012;USA / Nový Zéland;Dobrodružný / Fantasy;Peter Jackson;Martin Freeman, Ian McKellen;
79,60%;2074;m;Michael Jackson: Bad 25;2012;USA;Dokumentární / Hudební;Spike Lee;Michael Jackson, Justin Bieber;
79,20%;2095;m;Ve stínu;2012;Česko / Slovensko;Krimi / Drama;David Ondříček;Ivan Trojan, Sebastian Koch;Český lev
78,90%;2127;m;Punkový syndrom;2012;Finsko / Norsko;Dokumentární / Hudební;Jukka Kärkkäinen, Jani-Petteri Passi;Pertti Kurikka, Kari Aalto;
78,40%;2167;m;Numbers;2012;Česko / Jižní Korea;Krátkometrážní / Drama;Robert Hloz;;
78,30%;2181;st;Až po uši;2012;Velká Británie;Krátkometrážní / Animovaný;Timothy Reckart;Nigel Anthony;
77,70%;2231;m;Královská aféra;2012;Dánsko / Švédsko;Drama / Historický;Nikolaj Arcel;Alicia Vikander, Mads Mikkelsen;
77,20%;2274;m;Dozvuky;2012;Polsko / Rusko;Drama / Thriller;Władysław Pasikowski;Ireneusz Czop, Maciej Stuhr;
77,00%;2298;m;Ill Manors;2012;Velká Británie;Drama / Krimi;Ben Drew;Riz Ahmed, Ed Skrein;
76,60%;2328;st;Mass of Men;2012;Velká Británie;Krátkometrážní / Drama;Gabriel Gauchet;Peter Faulkner, Jane McDowell;
76,10%;2360;st;Haka;2012;Česko;Krátkometrážní;Adam Hobzik;Filip Kaňkovský;
74,60%;2436;m;Okresní přebor - Poslední zápas Pepika Hnátka;2012;Česko;Komedie / Sportovní;Jan Prušinovský;Miroslav Krobot, Ondřej Vetchý;
73,90%;2461;st;Kouzelník;2012;Česko;Komedie / Krátkometrážní;Jiří Česák;Jiří Česák, Dominik Hrdý;
73,70%;2466;st;Všechno je jinak;2012;Česko;Krátkometrážní / Drama;Jiří Česák;Josef Česák, Marie Česáková;
73,00%;2489;m;Třetí poločas;2012;Makedonie / Česko;Drama / Historický;Darko Mitrevski;Katarina Ivanovska, Sasko Kocev;
72,90%;2491;st;In vino veritas;2012;Česko;Krátkometrážní / Animovaný;Aneta Kýrová Žabková;Jiří Lábus, Jana Boušková;
72,20%;2511;m;Interande;2012;Česko;Krátkometrážní / Romantický;Víťa Procházka;Barbora Mudrová, Pavel Hýža;
70,90%;2541;m;Fíha tralala;2012;Slovensko;Hudební / Pohádka;Martina Jelenová;;
;2618;m;Láska;2012;Rakousko;;Michael Haneke;;Cannes
;2619;m;Láska v hrobě;2012;Česko;Dokument;David Vondráček;;Český lev - doku
92,10%;63;m;Hana Hegerová - Pasiáns;2011;Česko;Hudební / Dokumentární;Hana Hegerová;;
92,00%;65;m;Karel Kryl : Koncerty 1989 /1990;2011;Česko;Hudební / Dokumentární;Karel Kryl;;
91,30%;90;m;Nedotknutelní;2011;Francie;Komedie / Drama;Eric Toledano, Olivier Nakache;François Cluzet, Omar Sy;
90,70%;111;s;Hra o trůny;2011;USA / Velká Británie;Fantasy / Akční;David Nutter, Alan Taylor;Peter Dinklage, Lena Headey;
90,40%;129;s;Most;2011;Švédsko / Dánsko;Krimi / Thriller;Henrik Georgsson, Rumle Hammerich;Sofia Helin, Kim Bodnia;
90,00%;142;s;Half in the Bag;2011;USA;Komedie / Talk-show;Mike Stoklasa, Jay Bauman;Mike Stoklasa, Jay Bauman;
88,70%;228;s;Hunter x Hunter;2011;Japonsko;Animovaný / Dobrodružný;Hiroši Kódžina, Tomoja Takahaši;Keidži Fudžiwara, Mijuki Sawaširo;
88,70%;233;m;Eddie Vedder – Water on the Road;2011;USA;Hudební / Dokumentární;Brendan Canty, Christoph Green;Eddie Vedder;
87,40%;354;m;Warrior;2011;USA;Sportovní / Drama;Gavin O'Connor;Joel Edgerton, Tom Hardy;
87,20%;376;s;Ve jménu vlasti;2011;USA;Krimi / Drama;Lesli Linka Glatter, Michael Cuesta;Claire Danes, Mandy Patinkin;
86,40%;495;s;Černé zrcadlo;2011;Velká Británie;Drama / Komedie;Otto Bathurst, Euros Lyn;Rory Kinnear, Daniel Kaluuya;
86,40%;496;s;Kravaťáci;2011;USA;Drama / Komedie;Kevin Bray, Terry McDonough;Gabriel Macht, Patrick J. Adams;
86,30%;520;m;Pearl Jam Twenty;2011;USA;Dokumentární / Hudební;Cameron Crowe;Cameron Crowe, Eddie Vedder;
86,20%;525;m;Černobílý svět;2011;USA / Indie;Drama;Tate Taylor;Emma Stone, Viola Davis;
86,10%;536;st;The Backwater Gospel;2011;Dánsko;Krátkometrážní / Animovaný;Bo Mathorne;Laura Post;
86,00%;559;s;Hříšníci;2011;USA;Komedie / Drama;Mark Mylod, John Wells;Emmy Rossum, William H. Macy;
85,70%;610;s;Zločin;2011;USA;Krimi / Drama;Ed Bianchi, Nicole Kassell;Mireille Enos, Joel Kinnaman;
85,70%;611;s;This Is England '88;2011;Velká Británie;Drama;Shane Meadows;Joe Gilgun, Stephen Graham;
85,40%;667;m;Krtek;2011;Česko / Finsko;Animovaný / Dobrodružný;Zdeněk Miler;;
85,30%;695;s;Spartakus: Bohové arény;2011;USA;Akční / Drama;Rick Jacobson, Michael Hurst;John Hannah, Lucy Lawless;
85,30%;712;m;Foo Fighters: Back and Forth;2011;USA;Dokumentární / Hudební;James Moll;Dave Grohl, Krist Novoselic;
85,20%;723;s;Gumballův úžasný svět;2011;Velká Británie / Německo;Animovaný / Komedie;Mic Graves, Antoine Perez;Dan Russell, Teresa Gallagher;
85,10%;769;m;Inni;2011;Island / Velká Británie;Dokumentární / Hudební;Vincent Morisset;Sigur Rós, Georg Hólm;
84,80%;838;m;X-Men: První třída;2011;USA;Akční / Dobrodružný;Matthew Vaughn;James McAvoy, Michael Fassbender;
84,80%;839;m;Umlčení;2011;Jižní Korea;Drama;Dong-hyeok Hwang;Yoo Gong, Yu-mi Jung;
84,70%;882;s;Usagi Drop;2011;Japonsko;Animovaný / Drama;Kanta Kamei, Susumu Micunaka;Aju Macu'ura, Maaja Sakamoto;
84,60%;918;m;Présumé coupable;2011;Francie / Belgie;Drama;Vincent Garenq;Philippe Torreton, Wladimir Yordanoff;
84,20%;1097;m;Ivan Mládek: Jožin z bažin a další největší hity;2011;Česko;Hudební / Komedie;Ivan Mládek, Ivo Pešák;;
84,10%;1138;m;Samsara;2011;USA / Indonésie;Dokumentární / Dobrodružný;Ron Fricke;Neelesha Barthel, Robert Henline;
84,00%;1148;s;"Steins;Gate";2011;Japonsko;Animovaný / Drama;Takuja Sató, Hiroši Hamasaki;Tomokazu Seki, Asami Imai;
83,70%;1230;s;Hodinka;2011;Velká Británie;Drama;Harry Bradbeer, Coky Giedroyc;Dominic West, Romola Garai;
83,10%;1413;m;Harry Potter a Relikvie smrti - část 2;2011;Velká Británie / USA;Dobrodružný / Drama;David Yates;Daniel Radcliffe, Emma Watson;
83,10%;1414;s;Top Boy;2011;Velká Británie;Drama / Krimi;Yann Demange, Jonathan van Tulleken;Ashley Walters, Kano;
83,00%;1445;m;Rozchod Nadera a Simin;2011;Írán / Francie;Drama;Asghar Farhadi;Payman Maadi, Leila Hatami;
82,90%;1482;s;Fate/Zero;2011;Japonsko;Animovaný / Akční;Ei Aoki, Kei Cunemacu;Ajako Kawasumi, Tomokazu Seki;
82,60%;1614;m;F jako fotři;2011;USA;Dokumentární / Hudební;Andrea Blaugrund Nevins;Flea, Tony Hawk;
82,60%;1616;m;K-ON! film;2011;Japonsko;Animovaný / Hudební;Naoko Jamada;Aki Tojosaki, Jú Asakawa;
82,40%;1671;m;Bůh ti žehnej, Ozzy Osbourne;2011;Velká Británie;Dokumentární / Životopisný;Mike Fleiss, Mike Piscitelli;Ozzy Osbourne, Jack Osbourne;
82,20%;1716;m;Zrození Planety opic;2011;USA;Akční / Dobrodružný;Rupert Wyatt;James Franco, Andy Serkis;
81,80%;1830;m;Lovci hlav;2011;Norsko / Švédsko;Drama / Krimi;Morten Tyldum;Aksel Hennie, Synnøve Macody Lund;
79,40%;2078;st;Brumlik a Animuk;2011;Česko;Krátkometrážní / Animovaný;Jan Bohuslav;Josef Somr, Martha Issová;
78,50%;2159;st;Tik ťak;2011;USA;Krátkometrážní / Akční;Ien Chi;Maurice Winsell;
74,60%;2437;m;Mission: Impossible - Ghost Protocol;2011;USA / Spojené arabské emiráty;Akční / Dobrodružný;Brad Bird;Tom Cruise, Paula Patton;
74,60%;2438;st;Pan Pozdě;2011;Česko;Krátkometrážní / Drama;Jiří Sádek;Michal Kern, Adéla Petřeková;
74,50%;2441;st;Rain Town;2011;Japonsko;Animovaný / Krátkometrážní;Hirojasu Išida;;
73,90%;2462;st;Mistr S;2011;Česko;Krátkometrážní / Komedie;Tadeáš Mudroch, Vít Trunec;Dominik Hrdý, Jiří Česák;
73,10%;2486;st;Mlýn;2011;Česko;Krátkometrážní / Drama;Robert Hloz;Dalimil Klapka, Norbert Lichý;
72,50%;2503;m;Poslední autobus;2011;Slovensko;Krátkometrážní / Drama;Martin Snopek, Ivana Laučíková;Ivan Martinka, Vít Bednárik;
72,40%;2506;st;O-Ring;2011;Česko;Krátkometrážní / Mysteriózní;Ondřej Hudeček;Petr Borovec;
72,20%;2512;m;Lidice;2011;Česko / Slovensko;Drama / Válečný;Petr Nikolaev;Karel Roden, Zuzana Fialová;
71,90%;2521;m;Nevinnost;2011;Česko;Drama / Thriller;Jan Hřebejk;Aňa Geislerová, Ondřej Vetchý;
70,10%;2556;st;Mortys;2011;Francie;Krátkometrážní / Animovaný;Nicolas Villeneuve;;
67,00%;2585;m;Dům;2011;Slovensko / Česko;Drama;Zuzana Liová;Miroslav Krobot, Judit Pecháček;
;2620;m;Strom života;2011;USA;;Terrence Malick;;Cannes
;2621;m;Poupata;2011;Česko;;Zdeněk Jiráský;;Český lev
;2622;m;Pod sluncem tma;2011;Česko;Dokument;Martin Mareček;;Český lev - doku
92,90%;41;m;Tri sestry: Best off video;2010;Česko;Hudební / Dokumentární;Lou Fanánek Hagen, Tomáš Doležal;;
92,40%;56;m;Rush: Beyond the Lighted Stage;2010;Kanada;Dokumentární / Hudební;Sam Dunn, Scot McFadyen;Geddy Lee, Taylor Hawkins;
91,20%;96;m;Slavná alba: Black Sabbath - Paranoid;2010;Velká Británie;Dokumentární / Hudební;Matthew Longfellow;Ozzy Osbourne, Bill Ward;
90,90%;101;s;Sherlock;2010;Velká Británie;Krimi / Mysteriózní;Paul McGuigan, Nick Hurran;Benedict Cumberbatch, Martin Freeman;
88,70%;229;m;Počátek;2010;USA / Velká Británie;Akční / Sci-Fi;Christopher Nolan;Leonardo DiCaprio, Joseph Gordon-Levitt;
88,60%;239;m;No Distance Left to Run;2010;Velká Británie;Dokumentární / Hudební;Will Lovelace, Dylan Southern;Damon Albarn, Graham Coxon;
88,40%;256;s;Penn a Teller: Oblafni mě!;2010;Velká Británie;Komedie;Penn Jillette, Jonathan Ross;;
88,40%;260;m;Na dvorku;2010;Island;Dokumentární / Hudební;Árni Sveinsson;Unnsteinn Manuel Stefánsson, Sóley Stefánsdóttir;
88,10%;274;m;Prokletý ostrov;2010;USA;Mysteriózní / Thriller;Martin Scorsese;Leonardo DiCaprio, Mark Ruffalo;
87,60%;333;s;Impérium - Mafie v Atlantic City;2010;USA;Drama / Historický;Timothy Van Patten, Allen Coulter;Steve Buscemi, Dabney Coleman;
87,50%;344;s;Čas na dobrodružství;2010;USA;Animovaný / Dobrodružný;Bong Hee Han, Larry Leichliter;Jeremy Shada, John DiMaggio;
87,40%;355;s;Millennium;2010;Švédsko / Německo;Akční / Krimi;Daniel Alfredson, Niels Arden Oplev;Noomi Rapace, Michael Nyqvist;
87,20%;377;s;Panství Downton;2010;Velká Británie;Drama / Romantický;Brian Percival, Ben Bolt;Hugh Bonneville, Laura Carmichael;
87,20%;378;s;Vláda;2010;Dánsko;Drama;Jesper W. Nielsen, Louise Friedberg;Sidse Babett Knudsen, Birgitte Hjort Sørensen;
86,50%;477;s;Hatufim;2010;Izrael;Drama / Mysteriózní;Gideon Raff;Ishai Golan, Yoram Toledano;
86,40%;497;st;Entertainment;2010;Česko;Krátkometrážní;Martin Jelínek;Jakub Otčenášek, Vít Zapletal;
86,30%;507;m;Jak vycvičit draka;2010;USA;Animovaný / Dobrodružný;Chris Sanders, Dean DeBlois;Jay Baruchel, Gerard Butler;
86,20%;530;m;Lemmy Forever;2010;USA;Dokumentární / Životopisný;Greg Olliver, Wes Orshoski;Lemmy, Alice Cooper;
85,70%;612;m;Králova řeč;2010;Velká Británie / USA;Drama / Životopisný;Tom Hooper;Colin Firth, Helena Bonham Carter;Oscar
85,20%;724;s;Luther;2010;Velká Británie;Krimi / Drama;Sam Miller, Jamie Payne;Idris Elba, Dermot Crowley;
85,10%;752;s;Young Justice;2010;USA;Animovaný / Akční;Christopher Berkeley, Vinton Heuck;Nolan North, Danica McKellar;
84,60%;919;s;Treme;2010;USA;Drama / Hudební;Anthony Hemingway, Ernest R. Dickerson;Khandi Alexander, Rob Brown;
84,30%;1034;m;Na vlásku;2010;USA;Animovaný / Komedie;Byron Howard, Nathan Greno;Mandy Moore, Zachary Levi;
84,30%;1035;s;Show Rickyho Gervaise;2010;USA;Animovaný / Komedie;Dan Fraga, Craig Kellman;Ricky Gervais, Stephen Merchant;
83,50%;1287;m;Arrietty ze světa půjčovníčků;2010;Japonsko;Animovaný / Dobrodružný;Hiromasa Jonebajaši;Rjúnosuke Kamiki, Mirai Šida;
