iRating;iId;sType;sMovie;iYear;sCountry;sGenre;sDirector;sActors;sAward
72,20%;2508;m;Moře na dvoře;2025;Česko;Komedie / Drama;Martin Horský;Ondřej Vetchý, Jiří Langmajer;
72,20%;2509;m;Pohádky po babičce;2025;Česko / Slovensko;Animovaný / Loutkový;David Súkup, Patrik Pašš;Arnošt Goldflam, Mikuláš Čížek;
72,00%;2517;m;ČERNÁK;2025;Slovensko / Česko;Thriller / Drama;Jakub Kroner;Milan Ondrík, Dušan Cinkota;
71,40%;2530;m;Cukrkandl;2025;Česko / Slovensko;Rodinný / Dobrodružný;Pavel Jandourek;Tereza Ramba, Marek Adamczyk;
71,30%;2531;m;Perla;2025;Rakousko / Slovensko;Drama;Alexandra Makarová;Rebeka Poláková, Noël Czuczor;
69,30%;2566;m;Nepela;2025;Slovensko / Česko;Drama / Životopisný;Gregor Valentovič;Josef Trojan, Zuzana Mauréry;
68,80%;2574;m;Sbormistr;2025;Česko / Slovensko;Drama;Ondřej Provazník;Kateřina Falbrová, Juraj Loj;
;2588;m;Drobná nehoda;2025;Írán;;Džafar Panahí;;Cannes
;2589;m;Franz;2025;Česko;;Agnieszka Holland;;Český lev
;2590;m;Co s Péťou?;2025;Česko;Dokument;MartinTrabalík;;Český lev - doku
89,90%;150;s;Metoda Markovič: Hojer;2024;Česko;Krimi;Pavel Soukup;Petr Lněnička, Petr Uhlík;
88,60%;234;s;Senna;2024;Brazílie;Životopisný / Drama;Vicente Amorim, Julia Rezende;Gabriel Leone, Kaya Scodelario;
88,30%;265;m;Hudba Johna Williamse;2024;USA;Dokumentární / Životopisný;Laurent Bouzereau;John Williams, Steven Spielberg;
87,00%;398;s;Pan Bates versus Britská pošta;2024;Velká Británie;Životopisný / Drama;James Strong;Toby Jones, Amy Nuttall;
87,00%;399;m;Než budeme přebalovat;2024;Česko;Dobrodružný / Komedie;Alexandr Sedláček;Adam Křeček, Petr Kašík;
86,80%;428;m;Duna: Část druhá;2024;USA / Kanada;Sci-Fi / Akční;Denis Villeneuve;Timothée Chalamet, Zendaya;
86,50%;469;s;Šógun;2024;USA;Drama / Dobrodružný;Frederick E.O. Toye, Jonathan van Tulleken;Cosmo Jarvis, Hirojuki Sanada;
86,40%;490;s;Solo Leveling;2024;Japonsko;Animovaný / Akční;Šunsuke Nakašige, Júja Horiuči;Taito Ban, Reina Ueda;
86,30%;503;s;Dandadan;2024;Japonsko;Animovaný / Akční;Fúga Jamaširo, Hiroši Nišikiori;Šion Wakajama, Nacuki Hanae;
86,10%;531;m;Rozzum v divočině;2024;USA;Animovaný / Sci-Fi;Chris Sanders;Lupita Nyong'o, Pedro Pascal;
85,80%;584;s;Tučňák;2024;USA;Krimi / Drama;Craig Zobel, Lauren LeFranc;Colin Farrell, Clancy Brown;
85,70%;604;s;Běžné vedlejší účinky;2024;USA;Animovaný / Komedie;Joe Bennett, Sean Buckelew;Dave King, Emily Pendergast;
85,70%;605;m;Hurikán;2024;Česko / Francie;Krátkometrážní / Animovaný;Jan Saska;Johana Matoušková, Patrik Velek;
85,60%;644;m;Nejhvězdnější noc popu;2024;USA;Dokumentární / Hudební;Bao Nguyen;Lionel Richie, Bruce Springsteen;
85,50%;645;m;Deset malých černoušků;2024;Česko;Animovaný / Krimi;Lukáš Tuzar;Jiří Lábus, Petr Stach;
85,30%;689;s;Kaidžú 8 gó;2024;Japonsko;Animovaný / Akční;Tomomi Kamija, Šigejuki Mija;Asami Seto, Masaja Fukuniši;
85,20%;715;m;Vlny;2024;Česko / Slovensko;Drama / Thriller;Jiří Mádl;Vojtěch Vodochodský, Ondřej Stupka;Český lev
85,10%;747;s;Ripley;2024;USA;Krimi / Drama;Steven Zaillian;Andrew Scott, Dakota Fanning;
84,90%;829;m;Avicii: Jsem Tim;2024;Švédsko / USA;Dokumentární / Životopisný;Henrik S. Burman;Avicii, Aloe Blacc;
84,50%;992;m;Velký finále PSO;2024;Česko;Dokumentární / Hudební;Dominik Kalivoda;Joel Hána;
84,30%;1023;s;X-Men '97;2024;USA;Animovaný / Akční;Jake Castorena, Chase Conley;Chris Potter, Jennifer Hale;
84,20%;1067;s;Labužníci v kobce;2024;Japonsko;Animovaný / Dobrodružný;Jošihiro Mijadžima, Naoki Takeda;Asuna Tomari, Kentaró Kumagai;
83,70%;1227;s;Dexter: Original Sin;2024;USA;Krimi / Drama;Monica Raymund, Michael Lehmann;Michael C. Hall, Patrick Gibson;
83,30%;1347;s;Fallout;2024;USA;Akční / Sci-Fi;Jonathan Nolan, Daniel Gray Longino;Ella Purnell, Aaron Moten;
83,30%;1348;s;Smysl pro tumor;2024;Česko;Komedie / Drama;Tereza Kopáčová;Filip Březina, Alžběta Malá;
82,90%;1518;m;ABBA: úspěch navzdory;2024;Velká Británie;Dokumentární / Hudební;James Rogan;Anni-Frid Lyngstad, Benny Andersson;
82,20%;1708;st;The Painter;2024;Česko;Drama / Krátkometrážní;Lukáš Palan;Tereza Danihlíková, Jan Hofman;
82,00%;1766;m;Hrabě Monte Christo;2024;Francie;Dobrodružný / Historický;Alexandre de La Patellière, Matthieu Delaporte;Pierre Niney, Bastien Bouillon;
82,00%;1767;s;Gentlemani;2024;Velká Británie / USA;Akční / Krimi;Guy Ritchie, David Caffrey;Theo James, Kaya Scodelario;
80,70%;1977;m;Kneecap;2024;Irsko;Komedie / Drama;Rich Peppiatt;Liam Óg Ó Hannaidh, Naoise Ó Cairealláin;
80,60%;1987;m;Polepšený: Robbie Williams;2024;USA / Austrálie;Životopisný / Hudební;Michael Gracey;Robbie Williams, Jonno Davies;
80,30%;2009;st;Legáček;2024;Česko;Krátkometrážní;Jan Jansa;Hubert Ludwig, Radek Lajfr;
80,00%;2029;st;Smrt žije;2024;Česko;Krátkometrážní / Drama;Lukáš Vacula;Pavel Batěk, Daniel Kadlec;
79,70%;2059;m;Bob Dylan: Úplně neznámý;2024;USA;Životopisný / Drama;James Mangold;Timothée Chalamet, Edward Norton;
79,60%;2063;m;Plevel;2024;Česko;Krátkometrážní / Animovaný;Pola Kazak;Zuzana Petráňová;
