idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sSeries;sEpisodes;sDirector;sActor;sAuthor;sPlatforms;sNominated;sWinner
683975;Černobyl;2019;96.11587733370533;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/163/798/163798914_da5cee.jpg;https://www.csfd.cz/film/683975-cernobyl/;USA / Velká Británie;Drama / Historický;Chernobyl;Černobyl, pětidílná minisérie z koprodukce společností HBO a Sky, rekonstruuje příběh o jaderné havárii z roku 1986, jedné z nejhorších katastrof v historii způsobených člověkem, a o obětech, které byly učiněny pro záchranu Evropy před nepředstavitelnou pohromou. Dne 26. dubna 1986 otřásla jadernou elektrárnou v Černobylu na Ukrajině mohutná exploze, která uvolnila nebezpečné radioaktivní látky nejen na ukrajinském, běloruském a ruském území tehdejšího Sovětského svazu, ale také do oblastí Skandinávie a západní Evropy. Jared Harris ztvárňuje Valerije Legasova, předního sovětského jaderného fyzika, který vedl vyšetřování tragické události. Stellan Skarsgård hraje sovětského místopředsedu vlády Borise Ščerbinu, kterého Kreml pověřil vedením vládní komise zjišťující okolnosti havárie. Emily Watsonová představuje jadernou fyzičku Ulanu Khomyukovou, která chce odhalit tajemství kolem černobylského neštěstí. (HBO Europe);V TV od 06.05.2019 Home Box Office;smrt, 20. století, strach, vyšetřování, politika, vojáci, lež, podle skutečného příběhu, armáda, nemocnice, soud, těhotenství, nehoda, sebevražda, vědci, věda, komunismus, období 1980-1990, výbuch, katastrofa, požár, oheň, tajná policie, záchranáři, radioaktivita, hasiči, Ukrajina, horníci, KGB, politický proces, Černobyl, elektrárna, nemoc z ozáření, jaderná elektrárna;0.0;5.0;Johan Renck;Jared Harris, Stellan Skarsgård, Emily Watson, Jessie Buckley, Paul Ritter, Adam Nagaitis, Robert Emms, Sam Troughton, Con O'Neill, Adrian Rawlins;;https://www.hbomax.com/cz/en/shows/chernobyl/396999a6-3fff-4af3-802b-10c46d10deff<br>http://www.hbo.eu<br>http://www.hbo.eu<br>/novinky/9735-hbo-chysta-serial-ze-sveta-hry-baldur-s-gate/<br>/novinky/9735-hbo-chysta-serial-ze-sveta-hry-baldur-s-gate/<br>/novinky/9735-hbo-chysta-serial-ze-sveta-hry-baldur-s-gate/<br>https://www.hbomax.com/cz/en/shows/chernobyl/396999a6-3fff-4af3-802b-10c46d10deff<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (2x)<br>Critics Choice Awards (3x)<br>;Golden Globes (2x)<br>Critics Choice Awards (1x)<br>
70341;Bratrstvo neohrožených;2001;93.99441652707985;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/164/947/164947074_0b340c.jpg;https://www.csfd.cz/film/70341-bratrstvo-neohrozenych/;Velká Británie / USA;Válečný / Drama / Akční / Historický;Band of Brothers;"Bratrstvo neohrožených představuje zásadní počin v historii HBO i televize samotné. Jedná se o desetidílnou minisérii natočenou na motivy bestselleru spisovatele Stephena E. Ambroseho, jenž pojednává o elitní jednotce americké armády z 2. světové války známé jako Easy Company. Minisérie začíná v přísném výcvikovém táboře v Georgii v roce 1942 a vypráví o pozoruhodných úspěších této dobrovolnické střelecké roty, která se časného rána v osudný den ""D"" roku 1944 účastnila výsadku ve Francii. Stála v čele operace Market-Garden a prodělala ofenzívu na Rýně, zaútočila na nacisty v Bastogne i v Bulge a v roce 1945 pomáhala dobýt Hitlerovo ""nedobytné"" Orlí hnízdo v Berchtesgaden. (HBO Europe)";Na Blu-ray od 30.04.2014 Magic Box;smrt, 20. století, násilí, období 1940-1950, 2. světová válka, vojáci, tank;0.0;10.0;David Frankel, Mikael Salomon, Richard Loncraine;Damian Lewis, Scott Grimes, Ron Livingston, Donnie Wahlberg, Shane Taylor, Rick Warden, Michael Cudlitz, Neal McDonough, Frank John Hughes, Richard Speight Jr.;Stephen Ambrose;https://www.netflix.com/cz-en/TITLE/70308702<br>https://www.hbomax.com/cz/en/shows/band-of-brothers/6a0a0227-f567-46ba-9a2d-04374c5f6193<br>http://www.hbo.eu<br>http://www.hbo.eu<br>/novinky/3122-hbo-a-spielberg-opet-ve-valce/<br>/novinky/3122-hbo-a-spielberg-opet-ve-valce/<br>/novinky/3122-hbo-a-spielberg-opet-ve-valce/<br>https://www.netflix.com/cz-en/TITLE/70308702<br>https://www.hbomax.com/cz/en/shows/band-of-brothers/6a0a0227-f567-46ba-9a2d-04374c5f6193<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (2x)<br>Critics Choice Awards (1x)<br>;Golden Globes (1x)<br>
56207;Narcos;2015;93.63288940359004;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/167/208/167208056_5a6444.jpg;https://www.csfd.cz/film/56207-narcos/;USA;Životopisný / Krimi / Drama;Narcos;Na konci 70. let dvacátého století se nechvalně proslulý zločinec Pablo Escobar poprvé zapojil do ilegální výroby kokainu. V červenci 1992 se mu podařilo uprchnout z vězení La Catedral, které kolumbijská vláda postavila podle Escobarových vlastních požadavků výměnou za to, že se vzdá úřadům a „odpyká” si tam trest nanejvýše pěti let odnětí svobody. Mezítím se Pablo Escobar stal legendárním drogovým baronem a narkoteroristou. Drsný kriminální seriál Narcos je inspirovaný skutečností a odehrává se v krutém a nemilosrdném světě kolumbisjkých drogových gangů. Jeho hlavním hrdinou je Steve Murphy (Boyd Holbrook). Agent DEA, amerického úřadu pro boj proti drogám, má za úkol dostat Escobara (Wagner Moura) a zničit jeho kartel Medellín. Murphymu pomáhá agent Javier Peña (Pedro Pascal), ale když oba dorazí do Kolumbie, zjišťují, že Escobar má mnohem závažnější problémy než nějakou DEA. (TV Prima);Na VOD od 28.08.2015 Netflix (Season 1);vražda, násilí, policie, zbraně, peníze, politika, drogy, detektiv, gangsteři, mafie, soud, korupce, vydírání, pašování, úplatky, drogový kartel, Kolumbie, Úřad pro potírání drog (DEA), narconovela, Pablo Escobar;3.0;30.0;Andrés Baiz, Josef Kubota Wladyka, Fernando Coimbra;Pedro Pascal, Wagner Moura, Boyd Holbrook, Paulina Gaitan, Alberto Ammann, Raúl Méndez, Paulina García, Matias Varela, Diego Cataño, Julian Diaz;;https://www.netflix.com/title/80025172<br>https://www.netflix.com/title/80025172<br>https://www.csfd.cz/vod/netflix/<br>https://www.csfd.cz/vod/netflix/<br>https://www.csfd.cz/vod/netflix/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (2x)<br>;
237486;Perníkový táta;2008;92.62047851230298;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/165/366/165366633_1d1106.jpg;https://www.csfd.cz/film/237486-pernikovy-tata/;USA;Krimi / Drama / Thriller;Breaking Bad;V kompletní druhé sezóně seriálu Perníkový táta Waltovi (dvojnásobný držitel Ceny Emmy® Bryan Cranston) a Jessemu (Aaron Paul) vše přerůstá přes hlavu. Jejich podnikání dosahuje nových rozměrů a oba zažívají, co všechno obnáší obchodování s drogami. Proslulý modrý amfetamin z nich udělal boháče, ale pro Walta je stále složitější skrývat pravdu před svou manželkou Skyler (Anna Gunn), synem Walterem juniorem (RJ Mitte) a švagrem Hankem (Dean Norris), protidrogovým agentem. Ze všech sil se snaží udržet svůj život pod kontrolou, musí se ale potýkat s brutálními drogovými dealery, stále odtažitější ženou a synem, blížícím se narozením dcery a drogově závislým obchodním partnerem – a při tom všem navíc bojovat s rakovinou plic v konečném stádiu. Za kamerou Perníkového táty: Kompletní druhé sezóny stál Michael Slovis, střihu se ujala držitelka Ceny Emmy® Lynne Willingham, A.C.E. Výkonnými producenty byli Vince Gilligan a Mark Johnson.;V TV od 20.01.2008 AMC;muž, láska, žena, rodina, smrt, přátelství, přátelé, vražda, násilí, dívka, tajemství, otec, děti, matka, rodiče, policie, strach, mládež, manželé, město, záhady, touha, syn, útěk, chlapec, zbraně, vyšetřování, vrah, ženy, oběť (autonehody/zločinu), pátrání, škola, vzpomínky, pomsta, sourozenci, peníze, manipulace, lež, intriky, sex, pronásledování, rivalita, drogy, zločin, kolegové, únos, zrada, vězení, boj o přežití, souboje, vášeň, podvod, kamarádi, mrtvola, vztahy, učitel, doktoři, bratři, nemoc, studenti, dům, bolest, detektiv, mezilidské vztahy, divočina, smutek, gangsteři, trauma, mafie, nenávist, gang, dilema, tragédie, střední škola, naděje, nemocnice, krádež, podsvětí (svět zločinu), zloděj, zabijáci, loupež, žárlivost, soud, zranění, stáří, těhotenství, agenti, rvačka, vědci, psychopat, manželství, paranoia, samota, přepadení, chamtivost, právníci, výslech, osamělost, přestřelka, věda, sousedi, romance, posedlost, konspirace, vlak, rukojmí, letadla, poušť, nájemný vrah, závislost, závist, vědec, oslava, restaurace, pohřeb, bohatství, nevyléčitelná nemoc, výbuch, oběť (někomu/něčemu), podezření, pašování, vaření, rakovina, spiknutí, sociopat, zajatci, odpuštění, FBI, loajalita, těžký úraz, bomba, poprava, amnézie, psychika, drogový dealer, Mexiko, zatčení, narozeniny, strýc, drogový kartel, trest, vloupání, terapie, profesor, jed, letecká nehoda, marihuana, pohřešování, synovec, letadlo v ohrožení, bodyguard, izolace, bazén, nemluvně, domov důchodců, bratranec, neo-western, ochrnutí, ochranka, dekapitace, Úřad pro potírání drog (DEA), karavan, Nové Mexiko, vrakoviště, pervitin, kleptomanie;5.0;62.0;Michelle MacLaren, Adam Bernstein, Vince Gilligan;Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, RJ Mitte, Bob Odenkirk, Jonathan Banks, Giancarlo Esposito, Jesse Plemons;;https://www.netflix.com/title/70143836<br>https://www.netflix.com/title/70143836<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (5x)<br>The Saturn Awards (16x)<br>;Golden Globes (2x)<br>The Saturn Awards (11x)<br>
69266;Tom a Jerry;1940;92.5082406262876;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/236/158236127_03ad5b.jpg;https://www.csfd.cz/film/69266-tom-a-jerry/;USA;Animovaný / Komedie / Rodinný;Tom a Jerry;"Nerozlučné duo kocoura Toma a myšáka Jerryho spolu soupeří v tomto americkém animovaném seriálu ve 163 dílech. Tom se neustále snaží chytit vychytralého Jerryho, který se jen tak nedá a dělá hloupému kocourovi naschvály. Nakonec ale stejně všechno dobře dopadne a Tom a Jerry jsou zase ""kámoši jak hrom"". (Zoiberg)";Na DVD od 12.09.2006 Magic Box;večerníček, kočky, myši, Tom a Jerry;3.0;161.0;Tex Avery, Chuck Jones, Michael Lah;Mel Blanc, Daws Butler, June Foray, Robert Morley, Harvey Korman, Tex Ritter, William Hanna, Pinto Colvig, Joseph Barbera, Tex Avery;Robert Louis Stevenson;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (5x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>;Academy Awards (7x)<br>
72489;Simpsonovi;1989;92.19427683852082;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/166/402/166402931_d24f3c.jpg;https://www.csfd.cz/film/72489-simpsonovi/;USA;Animovaný / Komedie;The Simpsons;Natvrdlý lenoch Homer, pedantská puťka Marge, drzounský Bart, přechytralá Líza a roztomilá Maggie – to jsou členové rodiny nejslavnějšího a nejpopulárnějšího animovaného seriálu Simpsonovi. Už dvacet let se jich miliony fanoušků na celém světě nemohou nabažit a v pravidelných intervalech nakukují do zákulisí legendárního Springfieldu, aby byli svědky neuvěřitelných dobrodružství bláznivé, ale přesto vlastně normální americké rodinky. Simpsonovi si získali své obecenstvo především neotřelým a trochu drsným humorem, s nímž vykreslují typickou americkou rodinu z městečka Springfield. Ta se skládá z pěti naprosto odlišných lidí, pro které je občas pořádně těžké se sebou vyjít. Nemluvě o ostatních obyvatelích města, v němž to opravdu neustále žije – je tu vlastní upadlá kultura, zkorumpovaná politika, drsná mafie a lenivá policie, ale také prostí občané, kteří se každý týden chodí kát do místního kostela. V neposlední řadě si mohou diváci všimnout jednoho všudypřítomného detailu – Simpsonovi totiž téměř v každé scénce něco nebo někoho parodují – ať už jde o svět filmový, hudební, politický, ale i náboženský. Tvůrci seriálu se zkrátka s velkou odvahou pouštějí do neustálých provokací osob a institucí z reálného života. (TV Prima);Na VOD od 22.04.2025 Disney+ (Série 36);láska, rodina, přátelství, přátelé, děti, matka, manželé, město, škola, sourozenci, učitel, dům, mafie, psi, černý humor, šikana, alkoholismus, sousedi, satira, parodie, maloměsto, hospoda, základní škola, sitcom, klauni, domov důchodců, obezita, skateboarding, pivo, elektrárna, školní autobus, jaderná elektrárna;38.0;819.0;Mike B. Anderson, Mark Kirkland, Steven Dean Moore;Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Harry Shearer, Hank Azaria, Marcia Wallace, Pamela Hayden, Tress MacNeille, Russi Taylor;;/tvurce/890552-gary-apple/prehled/<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-cac75c8f-a9e2-4d95-ac73-1cf1cc7b9568<br>/novinky/7733-disney-odstartuje-v-cesku-14-cervna/<br>/novinky/7733-disney-odstartuje-v-cesku-14-cervna/<br>/novinky/7733-disney-odstartuje-v-cesku-14-cervna/<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-cac75c8f-a9e2-4d95-ac73-1cf1cc7b9568<br>https://www.csfd.cz/vod/disney-plus/<br>https://www.csfd.cz/vod/disney-plus/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (1x)<br>Critics Choice Awards (6x)<br>The Saturn Awards (12x)<br>;The Saturn Awards (2x)<br>
285191;Kmotr;1977;92.5049115913556;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/109/310/109310264_cdd308.jpg;https://www.csfd.cz/film/285191-kmotr/;USA;Krimi / Drama / Thriller;The Godfather: A Novel for Television;V novembri roku 1977 boli filmy Krstný otec (1972) a Krstný otec II (1974) spojené do jednej minisérie, ktorá bola odvysielaná na stanici NBC. Stopáž minisérie presahuje päť hodín, pretože do nej boli vložené a chronologicky zoradené vynechané scény z oboch filmov. Po uvedení filmu Krstný otec III (1990) bola celá séria skompletizovaná pod názvom The Godfather Trilogy 1901-1980 (1992). (Richard_Ba);;podle knihy, rodina, vražda, 20. století, gangsteři, mafie, cosa nostra;;;Francis Ford Coppola;Marlon Brando, Al Pacino, Robert Duvall, James Caan, Richard S. Castellano, Diane Keaton, Robert De Niro, Talia Shire, Sterling Hayden, John Marley;Mario Puzo;http://www.youtube.com/watch?v=sJU2cz9ytPQ<br>http://www.youtube.com/watch?v=_tmKRk2AIJI<br>http://www.youtube.com/watch?v=HWqKPWO5T4o<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
797075;Blue;2018;92.90018832391713;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/164/027/164027765_aa8774.jpg;https://www.csfd.cz/film/797075-blue/;Austrálie / Velká Británie;Animovaný / Rodinný;Bluey;Seriál sleduje dobrodružství roztomilého a nevyčerpatelného šestiletého štěněte modrého honáckého psa, které žije se svým tátou, mámou a čtyřletou sestřičkou Bingo. V každé epizodě využívá Blue svou neomezenou energii k propracovaným hrám, které se vyvíjejí nepředvídatelným a zábavným způsobem. (Česká televize);V TV od 01.10.2018 Australian Broadcasting Corporation;;3.0;154.0;Richard Jeffery, Joe Brumm;David McCormack, Melanie Zanetti, Charlotte Nicdao, Bishanyia Vincent, Joe Brumm, Joff Bush, Sam Moor, Dan Brumm, Charlie Aspinwall, Eva Mendes;;https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-fa6973b9-e7cf-49fb-81a2-d4908e4bf694<br>https://sledovanitv.cz/epg/event/disney_junior:2025121661f087646371043b5a40a254bfca3a6c<br>http://www.ceskatelevize.cz<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-fa6973b9-e7cf-49fb-81a2-d4908e4bf694<br>https://sledovanitv.cz/epg/event/disney_junior:2025121661f087646371043b5a40a254bfca3a6c<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Critics Choice Awards (4x)<br>;
72411;Mr. Bean;1990;91.45546038861757;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/171/029/171029973_m6em48.jpg;https://www.csfd.cz/film/72411-mr-bean/;Velká Británie;Komedie / Rodinný;Mr. Bean;Postava pana Beana, jejímž tvůrcem a představitelem je Rowan Atkinson, vyvolala v oblasti komediálního žánru skutečnou senzaci. Panu Beanovi se dostalo četných mezinárodních ocenění, mezi kterými nechyběly ani Emmy za populární tvorbu, cena za komedii města Montreux a Mezinárodní cena kritiky z Montreux. Svými kousky, které ho přivádějí do prekérních situací, si získal publikum na celém světě. Velký podíl na tom má také skutečnost, že jeho humor je zcela vizuální. Doprovází ho sice zvuk, avšak jen minimum dialogů. Naprosto nemožný, občas roztomilý a vždy v dobrém rozmaru, pan Bean zastává výjimečné postavení v žánru televizní komedie po celém světě. (Česká televize);Na DVD od 12.03.2007 Bontonfilm;muž, žena, 20. století, děti, město, útěk, škola, cestování, venkov, Vánoce, párty, tanec, zpěv, rande, hotel, Londýn, letadla, obchod (prodejní místo), závist, oslava, pláž, hračky, královna, období 1990-2000, kostel, noc, Velká Británie, auta, dobrodružství, byt, groteska, ulice, kino, nedorozumění, plavání, bazén, silnice, park, hotelový pokoj, pokoj, Nový rok, britcom, němota, pěší honička, zubař, kadeřnictví, golf, televizor, kuchyně, vlakové nádraží, situační humor, obchodní centrum, skeč, plyšová zvířata, kufřík, prádelna, plyšový medvídek, nakupování, špatné řízení auta, Mr. Bean, škodolibost, skoky do vody, den otevřených dveří;0.0;14.0;John Birkin, Paul Weiland, John Howard Davies;Rowan Atkinson, Robin Driscoll, Matilda Ziegler, Angus Deayton, Sophie Thompson, Richard Wilson, Phyllis Calvert, Jamie Yeates, Christopher Ryan, Danny La Rue;;https://www.ceskatelevize.cz/porady/876070-mr-bean?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>http://www.ceskatelevize.cz<br>http://www.ceskatelevize.cz<br>https://www.ceskatelevize.cz/porady/876070-mr-bean?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
121470;Byl jednou jeden... život;1987;91.32810102161618;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/164/951/164951890_ed86c9.jpg;https://www.csfd.cz/film/121470-byl-jednou-jeden-zivot/;Francie;Animovaný / Rodinný;Il était une fois... la vie;Francouzský animovaný seriál pro děti o stavbě a funkci jednotlivých orgánů lidského těla... Zveme vás na dobrodružný výlet za poznáním lidského těla. V tomto animovaném seriálu se dozvíte, jak fungují buňky, srdce, mozek a všechny další tělesné orgány. Byl jednou jeden život je francouzský vzdělávací animovaný televizní seriál z roku 1987, jehož úkolem bylo přístupnou formou zprostředkovat divákům (zejména těm mladším) stavbu a funkce jednotlivých částí lidského těla. Jednotlivé procesy v lidském organizmu představují různé postavičky či mechanismy, plnící mnohé úkoly. Seriál se řadí k nejúspěšnějším dílům tohoto druhu v historii, dočkal se nadabování a odvysílání v desítkách jazyků, včetně češtiny. Má 26 epizod, jeho tvůrcem byl Albert Barillé, který vytvořil rovněž další seriály v podobném stylu, avšak s jinými tématy (například o historii lidstva či o vesmíru a o vynálezech a technice). (Česká televize);Na DVD od 13.05.2008 BH Promo;souboje, krev, nemoc, věda, lékařství, virus, piloti;0.0;26.0;Albert Barillé;Roger Carel, Marie-Laure Beneston, Gilles Laurent, Henry Djanik, Alain Bergé, Josef Meinrad, Patrick Préjean, Thierry Ragueneau, Sady Rebbot, Serge Sauvion;;https://www.ceskatelevize.cz/porady/872965-byl-jednou-jeden-zivot?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>http://www.ceskatelevize.cz<br>http://www.ceskatelevize.cz<br>https://www.ceskatelevize.cz/porady/872965-byl-jednou-jeden-zivot?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
