idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sSeries;sEpisodes;sDirector;sActor;sAuthor;sPlatforms;sNominated;sWinner
987588;Slow Horses;2022;82.8300946686597;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/166/183/166183661_cf1fc8.png;https://www.csfd.cz/film/987588-slow-horses/;Velká Británie;Drama / Krimi / Thriller;Slow Horses;Apple TV+ přináší špionážní thriller podle stejnojmenné předlohy Micka Herrona. Odpadlíci zpravodajské služby MI5 jsou nuceni vykonávat podřadnou a nudnou práci pod vedením Jacksona Lamba (Gary Oldman). Od chyb minulých k lepší budoucnosti se snaží vymanit i River Cartwright (Jack Lowden), který se pouští do nadějného případu, který není tak prostý, jak by se na první pohled mohlo zdát. (Michalek);Na VOD od 01.04.2022 Apple TV+ (Season 1);podle knihy, muž, láska, žena, rodina, smrt, přátelství, přátelé, vražda, násilí, dívka, tajemství, otec, děti, matka, rodiče, policie, mládež, manželé, město, záhady, dcera, syn, útěk, chlapec, zbraně, vyšetřování, vrah, ženy, oběť (autonehody/zločinu), pátrání, cestování, vzpomínky, pomsta, sourozenci, peníze, politika, manipulace, venkov, lež, intriky, pronásledování, putování, rivalita, zločin, kolegové, únos, vesnice, zrada, vězení, souboje, podvod, kamarádi, učitel, bratři, dům, bolest, kriminalita, smutek, gangsteři, trauma, mafie, nenávist, gang, dilema, tragédie, krádež, podsvětí (svět zločinu), zloděj, zabijáci, loupež, žárlivost, zranění, stáří, agenti, nehoda, novináři, Francie, rvačka, sebevražda, střelné zbraně, psychopat, šílenství, zoufalství, manželství, korupce, přepadení, chamtivost, nacismus, vydírání, politik, výslech, přestřelka, střelba, teroristé, autonehoda, bojová umění, konspirace, vlak, komunismus, reportéři, Londýn, rukojmí, bar, letadla, špioni, nájemný vrah, trénink, obchod (prodejní místo), sledování, mučení, děda, závist, svědek, dědictví, korporace, iluze, pohřeb, bohatství, hospoda, svědectví, vnoučata, výbuch, oběť (někomu/něčemu), podezření, alkohol, pašování, internet, spiknutí, média, sociopat, zajatci, pokus o vraždu, sečné zbraně, odpuštění, vyhrožování, těžký úraz, bomba, atentát, změna identity, moc, automobilová honička, Velká Británie, zatčení, auta, technologie, záměna identit, výcvik, fašismus, CIA, samopal, byt, úplatky, puška, podezření z vraždy, speciální jednotky, studená válka, Anglie, tajná organizace, trest, destrukce, letiště, stalking, ničení, tajná policie, terorismus, pohřešování, sniper, posttraumatická stresová porucha, kancelář, brokovnice, hacker, tajný agent, ukradená identita, kóma, metro, autobus, budova, Rusko, silnice, masový vrah, teroristický útok, výkupné, náklaďáky, tajná operace, tajná služba, neonacismus, podezřelý na útěku, nevlastní sourozenci, odposlech, počítač, Sovětský svaz, KGB, pokus o atentát, sebeobrana, granát, železná opona, pokus o únos, vlastizrada, demokracie, MI5;6.0;36.0;Saul Metzstein, James Hawes, Jeremy Lovering;Gary Oldman, Jack Lowden, Kristin Scott Thomas, Saskia Reeves, Christopher Chung, Rosalind Eleazar, Aimee-Ffion Edwards, Kadiff Kirwan, Jonathan Pryce, Chris Reilly;Mick Herron;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/show/slow-horses/umc.cmc.2szz3fdt71tl1ulnbp8utgq5o<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/show/slow-horses/umc.cmc.2szz3fdt71tl1ulnbp8utgq5o<br>https://www.csfd.cz/vod/apple-tv/<br>https://www.csfd.cz/vod/apple-tv/<br>https://www.csfd.cz/vod/apple-tv/<br>https://www.csfd.cz/vod/apple-tv/<br>https://www.csfd.cz/vod/apple-tv/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (6x)<br>Critics Choice Awards (1x)<br>;
69552;Dobrodružství Sherlocka Holmese;1984;82.91085506367496;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/056/56393_b739ca.jpg;https://www.csfd.cz/film/69552-z-archivu-sherlocka-holmese/;Velká Británie;Krimi / Mysteriózní / Drama;Z archivu Sherlocka Holmese;Postava soukromého detektiva Sherlocka Holmese ožila v mnoha podobách na filmovém pláně i v televizi. Mezi nejúspěšnější adaptace ale patří britský televizní seriál, který byl vysílán mezi lety 1984 a 1994. Ve své nejslavnější roli se zde představil britský herec Jeremy Brett (1933–1995). Skládá se ze čtyř rozdílně pojmenovaných sérií a pěti delších televizních filmů. První na řadě jsou Dobrodružství Sherlocka Holmese, která byla natočena ve dvou řadách v letech 1984 a 1985. Celkem čítají 13 dílů a každý představí ucelený příběh s vyřešenou detektivní zápletkou. Jedná se o poměrně věrné adaptace knižních předloh Arthura Conana Doyla, které bývají řazeny ke klasikám detektivní literatury. (Česká televize);Na DVD od 21.03.2008 Amercom (Série 1);vražda, vyšetřování, detektiv, Londýn, Sherlock Holmes, viktoriánská Anglie, whodunit;2.0;13.0;David Carson, Paul Annett, Alan Grint;Jeremy Brett, Charles Gray, David Burke, Rosalie Williams, Eugene Lipinski, Ken Campbell, Joss Ackland, Natasha Richardson, Nicholas Clay, Betsy Brantley;Arthur Conan Doyle, Arthur Conan Doyle;http://www.ceskatelevize.cz<br>http://www.ceskatelevize.cz<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
325426;Psycho-Pass;2012;83.37719298245614;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/303/168303609_1bn94r.jpg;https://www.csfd.cz/film/325426-psycho-pass/;Japonsko;Animovaný / Akční / Krimi / Psychologický / Sci-Fi / Thriller;サイコパス;Ve zdejším sci-fi světě je možné u osob vyčíst emoce, touhy a jakékoliv další pohnutky, které ve výsledku spočítají faktor pravděpodobnosti ke spáchání trestného činu. Tým policistů se snaží udržet pořádek tím, že zneškodní potenciálně nebezpečné zločince dříve než k trestnému činu dojde (ptsd);V TV od 12.10.2012 Fuji Television;policie, zbraně, anime, detektiv, sériový vrah, budoucnost;3.0;41.0;Kacujuki Motohiro, Sajo Jamamoto, Jukio Nišimoto;Tomokazu Seki, Takahiro Sakurai, Kana Hanazawa, Kendži Nodžima, Mijuki Sawaširo, Ai Kajano, Akeno Watanabe, Kotori Koiwai, Maaja Sakamoto, Takehito Kojasu;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
390898;Kingdom;2014;83.58288770053476;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/762/162762048_b23c78.jpg;https://www.csfd.cz/film/390898-kingdom/;USA;Drama;Navy Street(pracovní název);Seriál, který nás zavede hluboko do světa MMA zápasníků. Alvey (Frank Grillo) a Lisa (Kiele Sanchez) se snaží udržet jejich tělocvičnu Navy Street nad vodou. Jejich největší nadějí je syn Nate (Nick Jonas), který je skvělý zápasník. Zato s druhým synem moc dobře nevycházejí, nedokáže se usmířit se svým otcem. A aby toho nebylo málo, tak se z vězení vrací Lisin bývalý přítel a zápasník (Matt Lauria). (topr harley);V TV od 08.10.2014 Audience Network;muž, láska, žena, rodina, smrt, přátelství, přátelé, vražda, násilí, dívka, tajemství, otec, děti, matka, rodiče, policie, strach, mládež, manželé, město, dcera, touha, syn, zbraně, vrah, ženy, oběť (autonehody/zločinu), gay, pomsta, sourozenci, peníze, manipulace, lež, intriky, sex, sny, rivalita, drogy, zločin, kolegové, zrada, vězení, vášeň, krev, vztahy, bratři, LGBTQ+, dům, bolest, mezilidské vztahy, smutek, sláva, trauma, nenávist, dilema, tragédie, naděje, žárlivost, sestry, milostný trojúhelník, zranění, těhotenství, novináři, nespravedlnost, párty, rvačka, sebevražda, homosexualita, psychopat, manželství, rozchod, diskriminace, paranoia, chudoba, přepadení, chamtivost, prostituce, šikana, alkoholismus, prostitutka, hotel, předsudky, bojová umění, milenka, rozvod, duševní porucha, reportéři, deprese, trénink, závislost, závist, oslava, fotograf, restaurace, legenda, dluhy, zakázaná láska, iluze, pohřeb, bohatství, oběť (někomu/něčemu), alkohol, MMA, milenec, trenér, Kalifornie, Los Angeles, žurnalistika, těžký úraz, psycholog, zápas, terapie, potrat, bezdomovectví, homofobie, posttraumatická stresová porucha, nevěstinec, tajná láska, bazén, motel, skupinová terapie, posilovna, pasák, manažer, recepční, recepce, doping, sauna, steroidy;3.0;40.0;Adam Davidson, Gary Fleder, Dennie Gordon;Frank Grillo, Kiele Sanchez, Matt Lauria, Nick Jonas, Joanna Going, Paul Walter Hauser, Jonathan Tucker, Juliette Jackson, Natalie Martinez, Mac Brandt;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
315015;Kuroko no basket;2012;83.87820512820512;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/165/939/165939293_8d5112.jpg;https://www.csfd.cz/film/315015-kuroko-no-basket/;Japonsko;Animovaný / Drama / Komedie / Sportovní;黒子のバスケ;Pět basketbalových hvězd ze základky jde studovat na různé střední školy. Tetsuya Kuroko a seirinská střední se teď snaží vydobýt si slávu. (Netflix);V TV od 08.04.2012 MBS;anime, rivalita, sláva, střední škola, basketbal;3.0;75.0;Šunsuke Tada, Kanta Kamei, Kazuto Nakazawa;Júki Ono, Kenšó Ono, Jošimasa Hosoja, Čiwa Saitó, Takuja Eguči, Gó Inoue, Džun'iči Suwabe, Fumiko Orikasa, Kazuja Nakai, Ken'iči Suzumura;Tadatoši Fudžimaki;https://www.netflix.com/title/80063153<br>https://www.netflix.com/<br>https://www.netflix.com/title/80063153<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
1453888;Labužníci v kobce;2024;84.12451361867704;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/359/168359100_49pr94.jpg;https://www.csfd.cz/film/1453888-labuznici-v-kobce/;Japonsko;Animovaný / Dobrodružný / Fantasy / Komedie;Dungeon meši;Kobky, draci nebo dobroty uvařené z různých příšer? Parta dobrodruhů vyrazí zachránit kamarádku do prokletého podzemního království a cestou připraví nejedno překvapení. (Netflix);V TV od 04.01.2024 Tokyo MX;;2.0;36.0;Jošihiro Mijadžima, Naoki Takeda, Júiči Šimoidara;Asuna Tomari, Kentaró Kumagai, Sajaka Senbongi, Hiroši Naka, Saori Hajami, Šindži Kawada, Akira Miki, Wataru Kató, Rie Takahaši, Miju Tomita;Rjóko Kui;https://www.netflix.com/title/81564899<br>https://www.netflix.com/<br>https://www.netflix.com/title/81564899<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
1795919;Hajime no Ippo;2000;84.58937198067633;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/161/695/161695290_043888.jpg;https://www.csfd.cz/film/1795919-hajime-no-ippo/;Japonsko;Akční / Animovaný / Drama / Komedie / Sportovní;Hadžime no Ippo;;V TV od 04.10.2000 Nippon TV;;3.0;127.0;Satoši Nišimura, Hisato Šimoda, Džun Šišido;Kóhei Kijasu, Daisuke Sakaguči, Genta Fukuda, Jasutaka Sonoda, Naoko Sugiura, Megumi Macumoto, Kikuko Inoue, Kazumi Makabe, Júsuke Kabuta, Satoru Inoue;George Morikawa;https://www.netflix.com/title/81480005<br>https://www.netflix.com/title/81480005<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
871824;Inscenace;2020;85.23364485981308;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/981/168981266_sauo3j.jpg;https://www.csfd.cz/film/871824-inscenace/;Velká Británie;Komedie;Staged;David Tennant a Michael Sheen v hlavních rolích jako dva herci, jejichž hra na „West End“ byla pozastavena kvůli covidu-19. Režisér této hry je alespoň přesvědčí, aby zkoušky probíhaly online. (..Lucas..);Na VOD od 04.01.2021 BBC iPlayer (Série 2);pandemie, karanténa, koronavirus;3.0;20.0;Simon Evans;David Tennant, Michael Sheen, Georgia Tennant, Anna Lundberg, Nina Sosanya, Simon Evans, Phin Glynn, Whoopi Goldberg, Ben Schwartz, Michael Palin;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
249097;Muž v pozadí;1995;85.18987341772151;;//static.pmgstatic.com/assets/images/050b5bad23b8eb0b4f88f971b8f6a168/empty-image.svg;https://www.csfd.cz/film/249097-muz-v-pozadi/;Česko;Drama / Životopisný / Historický;;"Čtyřdílná televizní hra Františka Pavlíčka byla inspirována osudem skutečné historické postavy Josepha Fouchého, francouzského politika, ministra policie pěti rozdílných režimů a zakladatele novodobé tajné policie. Pozice nejinformovanějšího muže Francie spojená s talentem pro spřádání politických a diplomatických intrik z něho učinila muže, který ovlivňoval události převratně bouřlivé doby po vypuknutí Velké francouzské revoluce. Byly to šokující změny: konec království, omamné sny pod heslem ""rovnost, volnost, bratrství"", období teroru a direktoria, poprava Ludvíka XVI., nástup Napoleona, stodenní císařství až po Waterloo v roce 1815. Fouché celou sérií státních převratů procházel jako člověk, který programově stál v pozadí, který ""tahá za nitky"". A jeho svědomí se nepříčilo přísahat věrnost a oddanost vždy jinému vítězi.";;;0.0;4.0;Pavel Háša;František Němec, Václav Postránecký, Jan Hartl, Kamil Halbich, Jiří Čapka, Radovan Lukavský, Taťjana Medvecká, Ladislav Frej st., Petr Kostka, Josef Vinklář;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
223398;Hunter x Hunter;1999;86.09756097560975;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/161/800/161800057_9cb3d4.jpg;https://www.csfd.cz/film/223398-hunter-x-hunter/;Japonsko;Animovaný / Dobrodružný / Komedie / Drama;ハンター×ハンター;Mladý chlapec Gon Freaks se chce stát hunterem. Jeho otec jím byl též a nad to je to prestižní povolání. Jenže stát se hunterem není jednoduché, musíte projít náročným testem, který vyzkouší hranice vašich fyzických i psychických schopností. Gon se příhlásí a při plnění testu se spřátelí s dalšími kandidáty, Leoriem, Kurapicou a mladým asasinem Killuou. Pozná také svého budoucího protivníka, vražedného kouzelníka Hisoku. HUNTER X HUNTER je ukázkový shounen. Testy, souboje, nadpřirozené schopnosti. Ladění seriálu je podobné u nás známějšímu seriálu NARUTO. I hlavní hrdinové obou sérií jsou si povahově vcelku podobní. Televizní série nemá ukončený děj, rozuzlení divák nalezne až ve třech navazujících OAV. (Subjektiv);;násilí, děti, anime, souboje, lov, lovci lidí;4.0;92.0;Kazuhiro Furuhaši, Šinobu Tagašira, Jošizó Cuda;Hozumi Góda, Juki Kaida, Džunko Takeuči, Kazuki Jao, Kóhei Kowada, Reiko Kiuči, Kendži Tačibana, Urara Takano, Jošikazu Nagano, Akiko Kimura;Jošihiro Togaši;http://www.youtube.com/watch?v=_ykSNapZAVE<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
