idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sDirector;sActor;sAuthor;sPlatforms;sNominated;sWinner
4184;El Dorado;1966;82.09864907320139;122;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/040/844/40844927_84addf.jpg;https://www.csfd.cz/film/4184-el-dorado/;USA;Western;El Dorado;Do městečka El Dorado, kde je šerifem J. P. Harra, přijíždí muž jménem Thorton. Dostal nabídku, aby spolupracoval s jistým Bartem Jasonem. Šerif Thortona zná, a tak se ptá, co tu Thorton hodlá dělat. Poté Thortonovi vysvětlí, že Jason je darebák, který se snaží nezákonným způsobem získat studnu na pozemku, patřícím početné rodině MacDonaldsových, takže Thorton Jasonovi spolupráci odmítne. Při odjezdu z města se však situace pořádně zamotá. Thorton narazí na jednoho z MacDonaldsových synů, který po něm začne střílet, a Thorton mladíka těžce zraní...;07.06.1967 Paramount Pictures;zbraně, přestřelka, šerif, pistolníci;Howard Hawks;John Wayne, Robert Mitchum, James Caan, Charlene Holt, Paul Fix, Arthur Hunnicutt, Michele Carey, R.G. Armstrong, Edward Asner, Christopher George;Harry Brown;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/el-dorado/umc.cmc.i3m8o9yzb5kimp5k97r5rp3e<br>https://www.youtube.com/watch?v=xmaVyAhlfQU<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/el-dorado/umc.cmc.i3m8o9yzb5kimp5k97r5rp3e<br>https://www.youtube.com/watch?v=xmaVyAhlfQU<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;San Sebastián International Film Festival (1x)<br>;
37696;Tři mušketýři: Královniny přívěsky;1961;82.07874015748031;100;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/170/308/170308275_00shed.jpg;https://www.csfd.cz/film/37696-tri-musketyri-kralovniny-privesky/;Francie / Itálie;Dobrodružný / Romantický / Historický;Les Trois Mousquetaires : Les ferrets de la reine;Mladý šlechtic d'Artagnan opustil rodné Gaskoňsko, aby se v Paříži pokusil vstoupit do sboru královských mušketýrů, sloužících králi Ludvíku XIII. Už cestou se však střetne v souboji s neznámým šlechticem, který by ho porazil, kdyby nezasáhl vychytralý Planchet, jehož pak vděčný d'Artagnan přijme do svých služeb. Když pak v Paříži opět pronásleduje neznámého šlechtice, dostane se postupně do sporu se třemi mušketýry Athosem, Porthosem a Aramisem, kteří ho postupně vyzývají k souboji...;Na DVD od 19.12.2008 Levné knihy;podle knihy, láska, přátelství, souboje, šlechta, královna, 17. století, mušketýři, šerm;Bernard Borderie;Gérard Barray, Mylène Demongeot, Georges Descrières, Bernard Woringer, Jacques Toja, Guy Delorme, Daniel Sorano, Jacques Berthier, Jean Carmet, Henri Nassiet;Alexandre Dumas st.;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
967;Zrůdy;1932;82.15859030837004;64;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/159/319/159319552_af0a99.jpg;https://www.csfd.cz/film/967-zrudy/;USA;Drama / Horor;Freaks;Vše má svoje meze, jen láska a zlo ne. Cirkusová artistka Cleopatra (Olga Baclanova) ráda poničuje a zesměšňuje trpasličího muže Hanse (Harry Earles), který se do ní zamiloval. Např. jej jen tak ze škodolibosti svádí před svým milencem, silákem Herkulem (Henry Victor). Když se však dozví, že Hans zdědil velké jmění, rozhodne se, že se za něj provdá. Tajně však s Herkulem plánují, že se ho po svatbě zbaví. Členové cirkusu, kteří jsou tělesně postižení stejně jako Hans, však její lsti prohlédnou. Tragický konec na sebe nenechá dlouho čekat... (nanamarak1);20.02.1932 Metro-Goldwyn-Mayer (MGM);podle knihy, černobílý film, láska, přátelé, zvířata, pomsta, manipulace, drogy, nevěra, tělesné postižení, cirkus;Tod Browning;Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates, Harry Earles, Daisy Earles, Schlitze, Daisy Hilton, Violet Hilton, Josephine Joseph;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;The Saturn Awards (1x)<br>;
84727;Jánošík;1963;82.13569776407094;170;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/029/29477_17afb0.jpg;https://www.csfd.cz/film/84727-janosik/;Československo;Dobrodružný / Drama / Historický;Jánošík I., II.;"V první části velkorysé historické fresky režiséra Paľa Bielika jsme prožili s malým Jánošíkem dětství a dobu kněžských studií. Zatímco v rodné vesnici řádily epidemie a panská zvůle, dozvěděli jsme se o smrti děda, kterého Jánošík velmi miloval, a malého bratra. Také o zvůli hraběcího syna Aurelia, který chtěl zhanobit Jánošíkovu kamarádku z dětství Terezu a o revoltě Jánošíkova otce, která měla za následek zapálení rodné chalupy panskými dráby, v jejíchž plamenech uhořela Jánošíkova matka. Nakonec svou smrt nalezl i Jánošíkův otec, krutě umučený v hraběcí temnici. Jánošík, který se vrátil ze studií a nenašel doma nikoho, pohřbil zuboženého otce a přísahal pomstu. Poté, co zapálil několik hraběcích majetků, odešel do hor, kde stráví zbytek života. Jeho zbojnická družina se utěšeně rozrůstá a Jánošík se stává postrachem i nadějí... Nesmrtelná legenda o zbojnickém hrdinovi Jánošíkovi, který bohatým bral a chudým dával, je stále vděčným námětem různých uměleckých zpracování. Třetí filmová verze, která byla natočena na Kolibě v letech 1962–63, vznikla u příležitosti 250. výročí Jánošíkovy smrti. Námět, scénář i režie této velkolepé historické fresky jsou dílem Paľa Bielika – původního hereckého představitele Jánošíka z české Fričovy filmové verze z roku 1935. Zajímavé je, že hlavní roli nesvěřil zkušený tvůrce žádnému z herců, ale mladému lékaři Františku Kuchtovi. Neokoukaná tvář tak vtiskla celému filmovému vyprávění silný realistický nádech. Velkorysý projekt, natáčený v exteriérech slovenských hor, s velkou účastí komparsu, náročnými scénickými stavbami (důmyslná zařízení Jánošíkova ""lágera"") a s účastí plejády vynikajících slovenských herců, patří k pokladům slovenské kinematografie. Ačkoliv by se na počátku šedesátých let nabízel ideologický výklad lidového hrdiny, Bielikovi se podařilo natočit prostý příběh o mladíkovi vzdorné povahy a silných morálních zásad, který našel odvahu změřit nerovné síly s ozbrojenou mocí. O muži, který naučil lidi, sužované bídou a sadistickou tyranií, doufat v pozemskou spravedlnost. Když byl roku 1713 popraven, bylo mu 25 let, přesto už toho stačil tolik, že se stal věčnou legendou. (Česká televize)";23.08.1963 Ústřední půjčovna filmů;násilí, zrada, šlechta, hrdina, legenda, 18. století, loupežníci, zbojníci;Paľo Bielik;František Kuchta, Ctibor Filčík, Dušan Blaškovič, Ondriš Jariabek, Martin Ťapák, Jozef Kroner, Samuel Adamčík, Andrej Bagar, Viliam Záborský, Magdalena Lokvencová-Husáková;;http://www.ceskatelevize.cz<br>http://www.ceskatelevize.cz<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
2988;All That Jazz;1979;82.22927050294517;123;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/597/158597607_b0df7f.jpg;https://www.csfd.cz/film/2988-all-that-jazz/;USA;Drama / Hudební / Komedie / Muzikál;All That Jazz;"Vrcholné dílo Boba Fosseho, ohromující po stránce myšlenkové i choreografické, hudební a taneční, je tragikomickou autobiografií, podanou formou neobyčejného muzikálu. Film je felliniovskou vizí umělce posedlého prací a řítícího se do záhuby kvůli vražednému životnímu tempu. Hlavní postava příběhu s mrazivou presvedčivostí předpověděla režisérovu vlastní smrt. Průkopnické dílo, naznačující smysluplnou cestu za hranice konvenčnosti žánrů, je vizuálně neobyčejně přitažlivé. Závěrečná agonická pasáž je stylizovaná do velkolepého čísla, ve kterém se sejdou všichni umělcovi blízcí v podobě fantómů a je završená symbolickou záhrobní jízdou do náruče koketního Anděla smrti.Obsedantní Fosseho téma existenciálních ambicí talentovaného tvůrce uprostřed masové kultury se s muzikálovou formou skloubila s neobyčejnou přirozeností, čímž vznikl jakýsi nedostižný muzikálový OBČAN KANE či 8 1/2. Film získal roku 1980 Zlatou palmu v Cannes ex aeque s filmem KAGEMUŠA a v tomtéž roce získal Oscara za dekorace, kostýmy, střih a hudbu. Film byl nominován i na Oscara za režii, scénář, za herecký výkon Roye Scheidera i v kategorii ""nejlepší film roku"".";20.12.1979 20th Century Fox;muž, žena, rodina, otec, rodiče, manželé, město, dcera, touha, ženy, umění, hudba, sex, sny, nemocnice, New York, tanec, herci, filmařské zákulisí, milenka, rozvod, divadelní prostředí, závislost, iluze, divadlo, režisér, milenec, Kalifornie, Hollywood, kouření, workoholismus;Bob Fosse;Roy Scheider, Jessica Lange, Leland Palmer, Ann Reinking, Cliff Gorman, Ben Vereen, Michael Tolan, Max Wright, Irene Kane, Erzsebet Foldi;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (5x)<br>British Academy of Film and Television Arts (BAFTA) (4x)<br>Golden Globes (1x)<br>New York Film Critics Circle Awards (1x)<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>Cannes Film Festival (1x)<br>
1114;Viridiana;1961;82.27651966626937;90;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/001/1076_ee3873.jpg;https://www.csfd.cz/film/1114-viridiana/;Mexiko / Španělsko;Drama;Viridiana;Příběh novicky Viridiany, která před složením řeholního slibu navštíví svého strýce s nevinným přáním rozloučit se se svým poručníkem, netušíc, že všechno se vyvine úplně jinak, je v podání klasika španělské kinematografie Luise Buňuela krutou satirou na náboženské pokrytectví. V roce 1961 byla Viridiana oceněna Zlatou palmou v Cannes, v mnoha zemích se však promítaly pouze katolickou církví cenzurované verze a doma v ortodoxním Španělsku bylo jeho promítání zakázáno úplně. Buňuel nesl svou klatbu velmi těžce a svůj další film Anděl zkázy natočil v Mexiku. Satiricko-surrealistická obraznost Viridiany, jednoho ze stěžejních děl Luise Buňuela, však dodnes řadí toto filmové dílo ke špičkám světové kinematografie.;09.04.1977 José Esteban Alenda S.A;podle knihy, černobílý film, žena, rodina, násilí, nemoc, tragédie, náboženství, víra, nespravedlnost, znásilnění, křesťanství, neo-noir, sexuální obtěžování, sexuální zneužívání, past, strýc, bezdomovectví, jeptišky, klášter, neteř;Luis Buñuel;Silvia Pinal, Francisco Rabal, Fernando Rey, José Calvo, Margarita Lozano, Victoria Zinny, Claudio Brook, José Manuel Martín, María Isbert, Joaquín Roa;Benito Pérez Galdós;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;Cannes Film Festival (1x)<br>
4270;Fitzcarraldo;1982;82.32186732186732;158;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/311/158311615_516b47.jpg;https://www.csfd.cz/film/4270-fitzcarraldo/;Západní Německo;Dobrodružný / Drama;Fitzcarraldo;Umanutý dobrodruh Fitzcarraldo si usmyslí, že do peruánských pralesů dopraví zázrak evropské kultury - operu. Jeho cesta do nitra neprobádaných končin naráží na bezpočet potíží, k nejpověstnějším patří přesouvání parníku přes horský hřeben. Ve filmu zaznějí slavní operní melodie, z gramofonových desek uslyšíme i hlas Enrika Carusa, jenž téměř zázračně uklidní nepřátelsky naladěné Indiány. Film se natáčel za mimořádně obtížných podmínek tři roky, během nichž musel režisér měnit i herecké obsazení - mimo jiné odstoupili např. Jack Nicholson a Mick Jagger.;04.03.1982 Filmverlag der Autoren;opera, dobrodruh, indiáni, džungle, domorodé kmeny, řeka, expedice, prales;Werner Herzog;Klaus Kinski, José Lewgoy, Miguel Ángel Fuentes, Peter Berling, Claudia Cardinale, Paul Hittscher, Huerequeque Enrique Bohorquez, David Pérez Espinosa, Jean-Claude Dreyfus, William Rose;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (1x)<br>Golden Globes (1x)<br>Cannes Film Festival (1x)<br>San Sebastián International Film Festival (1x)<br>;German Film Awards (1x)<br>Cannes Film Festival (1x)<br>
9324;Rocco a jeho bratři;1960;82.44695898161244;175;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/160/871/160871423_98926a.jpg;https://www.csfd.cz/film/9324-rocco-a-jeho-bratri/;Itálie / Francie;Drama;Rocco e i suoi fratelli;Italský film vynikajícího režiséra Luchina Viscontiho Rocco a jeho bratři patří k stěžejním dílům současné světové kinematografie. Je to film hluboce lidský. Vypráví o osudech pěti bratří, kteří přicházejí z venkova do velkého města hledat obživu. Visconti mistrovsky vykreslil jednotlivé charaktery. Dobrý až neskutečně dobrý Rocco nelituje ani největší obětí pro svého bezcharakterního bratra Simona: vzdá se lásky, přijme na sebe téměř neúnosné finanční závazky a nakonec se pokouší krýt Simona před policií, třebaže ví, že je vrahem dívky, kterou miloval. Je někdy až těžké pochopit takovou bratrskou lásku. Proto je divákům nejbližší z bratří mladý Ciro, jdoucí cílevědomě za správnou představou poctivého života. V jeho závěrečných slovech vidíme poslání filmu: lidé musí znát a plnit své povinnosti. Kdo se jim zpronevěří, sám se vyloučí z lidské společnosti, jako právě Simon. A poctiví lidé nemohou ztratit víru, že nový svět bude lepší. Porota benátského bienále 1960 jej vyznamenala Zvláštní cenou a současně získal cenu FIPRESCI. Na XII. FFP 1961 byl film poctěn cenou v kategorii filmů bojujících za sociální pokrok.;15.07.2015 Les Acacias;muž, černobílý film, žena, rodina, děti, matka, rodiče, mládež, město, syn, ženy, sourozenci, rivalita, bratři, studenti, tragédie, chudoba, prostituce, prostitutka, Itálie, stěhování, vdova, box, nezaměstnanost, neorealismus, Milán;Luchino Visconti;Alain Delon, Renato Salvatori, Annie Girardot, Katina Paxinou, Alessandra Panaro, Spiros Focás, Max Cartier, Corrado Pani, Claudia Mori, Adriana Asti;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (2x)<br>Venice Film Festival (1x)<br>;Venice Film Festival (2x)<br>
177992;Keulraesik;2003;82.43531202435312;133;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/073/73412_7b6367.jpg;https://www.csfd.cz/film/177992-keulraesik/;Jižní Korea;Romantický / Drama;클래식;Ji-hae (Ye-jin Son) psala e-maily za svou kamarádku klukovi, který se jí líbil. Při tom objevila deník své matky, která zažila něco podobného se svou první láskou. A v tomto bodě se začnou ovíjet dvě paralelní větve příběhu. Jedna s ní, druhá s její matkou Ju-hae (kterou stvárnila stejná herečka jako Ji-hae). Objevují se zde potom různé romantické okamžiky z jejich života. Ale vše nakonec skončí dobře. Abyste se dověděli jak, tak byste se na to měli podívat. (c.tucker);30.01.2003;láska, dívka, matka;Jae-yong Kwak;Ye-jin Son, In-sung Zo, Seung-woo Jo, Ki-woo Lee, Yeong-hee Seo, Byeong-ok Kim, Jeong-tae Kim, Seo Lee, Dong-hyeon Geum, Kwang-in Kim;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Hong Kong Film Awards (1x)<br>;
48316;Potopa;1974;82.72081218274111;316;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/025/25815_7207a5.jpg;https://www.csfd.cz/film/48316-potopa/;Polsko / Sovětský svaz;Dobrodružný / Válečný;Potop;Dvoudílný historický film Potopa natočil režisér Jerzy Hoffman podle stejnojmenného románu klasika polské literatury Henryka Sienkiewicze. Jeho děj se odehrává v 17. století, kdy do Polska vnikli Švédové pod vedením krále Karla Gustava a kdy zrada některých velmožů, jako Radziwillů umožnila, aby zaplavila celé kraje jako potopa. Sienkiewiczův román má komplikovanou konstrukci s rozsáhlým epickým dějem s mnoha vedlejšími motivy.Tvůrci se soustředili především na osobní drama statečného olšanského důstojníka Andrzeje Kmicice a na plastický obraz Polska, které povstalo proti Švédům. Zachovali maximální věrnost předloze, museli se však vzdát některých částí, které nebyly pro sevřenou filmovou tabuli rozhodující. Dominantní postavou filmu je Andrzej Kmicic, kterému dal Daniel Olbrychski nejen románovou statečnost a mužnost, ale i mnohem větší psychologickou hloubku. Výborná kamera Jerzyho Wójcika vyjádřila režisérovu koncepci jak v panoramatických masových scénách v exteriéru, tak ve scénách, natáčených v reálném prostředí historických zámků.;Na DVD od 14.12.2009 Terran;láska, smrt, přátelství, násilí, vojáci, zrada, válka, král, snoubenci, bitva, hrdina, 17. století, vzpoura, statečnost;Jerzy Hoffman;Daniel Olbrychski, Małgorzata Braunek, Tadeusz Łomnicki, Kazimierz Wichniarz, Władysław Hańcza, Ryszard Filipski, Leszek Teleszyński, Wiesława Mazurkiewicz, Franciszek Pieczka, Bruno Oja;Henryk Sienkiewicz;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (1x)<br>;
