idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sSeries;sEpisodes;sDirector;sActor;sAuthor;sPlatforms;sNominated;sWinner
238220;Podivuhodné prázdniny rodiny Smolíkovy;1978;81.05791764312019;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/169/433/169433590_2lxl31.jpg;https://www.csfd.cz/film/238220-podivuhodne-prazdniny-rodiny-smolikovy/;Maďarsko;Animovaný / Komedie / Rodinný / Dobrodružný;Vakáción a Mézga család;Gábi Smolíková dostává nečekaný dopis. Ozvala se jí její dávná láska, nepřekonatelný Pišta, kterému Pepa Smolík nesahá ani po paty – jak ostatně „nešťastná” Gábi svému manželovi ráda a často připomíná. Pišta posílá pět letenek a zve Gábi s celou rodinkou, aby za ním přijeli na návštěvu do exotické Austrálie. To je nabídka, kterou nemůžou odmítnout nejen Smolíkovi, ale ani jejich zvědavý soused Halíř. Když zmerčí jednu letenku navíc, neváhá a hned se k nim přidává. A tak začíná rodinná dovolená i další neštěstí. Smolíkovi se proti své vůli podívají nejen do Austrálie, ale i do všech ostatních koutů světa! Ukazuje se, že Pišta je obyčejný podvodník a Smolíkovi kvůli němu uváznou daleko od domova úplně bez peněz. Nezbývá jim než se dostat zpátky na vlastní pěst. Spolehnout se můžou jedině sami na sebe a cestou zažívají humorná a bizarní dobrodružství na těch nejpodivnějších místech – od jižního pólu až po Ostrov duchů. Ocitají se ve spárech mafie, narazí na černé zlato, a dokonce jsou pohřbeni zaživa! A když konečně překonají všechny neuvěřitelné útrapy, doma na ně čeká ještě jedno poslední nepříjemné překvapení… (TV Prima);V TV od 15.06.1980 MTV1;rodina, policie, útěk, cestování, peníze, lež, únos, podvod, moře, mafie, ostrov, poušť, dovolená, prázdniny, výkupné;0.0;13.0;József Nepp, Béla Ternovszky, Katalin Bánki;Endre Harkányi, Ilona Győri, Margit Földessy, Péter Geszti, György Bárdy, János Gálvölgyi, Alfonzó, István Bujtor, Imre Surányi, Attila Tyll;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
786136;Vánoce u našich;2019;81.20623916811093;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/164/031/164031284_062da3.jpg;https://www.csfd.cz/film/786136-vanoce-u-nasich/;Norsko;Komedie / Drama / Romantický;Hjem til jul;Johanne už nebaví poslouchat neustálé narážky na to, že nikoho nemá, a tak se rozhodne, že rodině o Vánocích představí nového přítele. Má 24 dnů na to, aby ho našla. (Netflix);Na VOD od 05.12.2019 Netflix (Série 1);láska, žena, rodina, přátelství, přátelé, tajemství, otec, matka, rodiče, dcera, ženy, sourozenci, Vánoce, lež, kamarádi, nemocnice, párty, sníh, rande, samota, zima, noční klub, seznamka;3.0;20.0;Anna Gutto, Per-Olav Sørensen;Ida Elise Broch, Gabrielle Leithaug, Dennis Storhøi, Hege Schøyen, Felix Sandman, Sajid Malik Hussain, Oddgeir Thune, Kingsford Siayor, Arthur Hakalahti, Cathrine Haave;;https://www.netflix.com/title/81083590<br>https://www.netflix.com/<br>https://www.netflix.com/title/81083590<br>https://www.csfd.cz/vod/netflix/<br>https://www.csfd.cz/vod/netflix/<br>https://www.csfd.cz/vod/netflix/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
72118;Marco Polo;1982;81.31367292225201;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/015/158015108_be99a9.jpg;https://www.csfd.cz/film/72118-marco-polo/;Itálie / USA / Japonsko / Čína;Dobrodružný / Drama / Životopisný / Historický;Marco Polo;V osmdesátých letech tolik populární seriál na našich obrazovkách, dnes již bohužel trochu pozapomenutý.Italským tvůrcům se podařilo poutavě převyprávět život jednoho z největších cestovatelů historie od jeho dětství - kdy se v něm probouzí zájem o daleké kraje až po hlavní životní událost - pobyt v Mongolské říši. Co činí seriál zajímavým je fakt, že při cestě napříč Evropou a Asií se mladý Marco setkává s různými národy a náboženstvími, které ostře kontrastují s jeho katolickou vírou. Vyvrcholení přichází při pobytu v Mongolsku, kdy zjistí, že se nejedná o barbary, ale národ, který je před Evropany v lecčems o krok vpředu.Úspěch seriálu mimo italské hranice měla podtrhnout účast i zahraničních herců a to zejména Anne Bancroftové a Denholma Elliota v roli Marcova otce. (Blackadder);V TV od 05.12.1982 Rai;cestování, dobrodruh, středověk, 13. století;0.0;8.0;Giuliano Montaldo;Ken Marshall, Denholm Elliott, Anne Bancroft, John Gielgud, John Houseman, Burt Lancaster, Tony Lo Bianco, David Warner, Tad Horino, Ian McShane;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
238344;V odborné péči;2008;81.6696269982238;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/166/519/166519908_3e2e8b.jpg;https://www.csfd.cz/film/238344-v-odborne-peci/;USA;Drama / Psychologický;In Treatment;Dokáže naslouchat cizím problémům, ale svoje zanedbává. Jeden psycholog a pět pacientů v oceňovaném americkém seriálu. Seriál z produkce kabelové stanice HBO V odborné péči (2008) vznikl podle úspěšného izraelského seriálu Be Tipul. Každá z jeho 43 půlhodinových epizod je záznamem jednoho sezení. Hlavní hrdina, psycholog Paul Weston, přijímá pacienty ve své domácí ordinaci. V pondělí to je lékařka Laura, postrádající v životě otcovskou figuru, kterou si nahrazuje Paulem, v úterý namyšlený pilot Alex, traumatizovaný zbytečnou smrtí nevinných při plnění bojového úkolu v Iráku, ve středu šestnáctiletá gymnastka Sophie, přitahovaná myšlenkami na smrt, ve čtvrtek manželský pár Jake a Amy, kteří po několikaletém léčení neplodnosti najednou nevědí, co si počít s nastávajícím těhotenstvím, a konečně v pátek Paul sám chodí za Ginou, ovdovělou terapeutkou na odpočinku, s níž se před lety ve zlém rozešel.;Na VOD od 14.06.2021 HBO Max (Série 4);psycholog, terapie;4.0;130.0;Paris Barclay, Rodrigo García, Jim McKay;Gabriel Byrne, Dianne Wiest, Michelle Forbes, Blair Underwood, Mia Wasikowska, Josh Charles, Embeth Davidtz, Melissa George, Mae Whitman, Glynn Turman;;https://www.hbomax.com/cz/en/shows/in-treatment/ade214c4-7be3-45bd-831b-0829840546e4<br>https://www.hbomax.com/cz/en/shows/in-treatment/ade214c4-7be3-45bd-831b-0829840546e4<br>http://www.hbo.com/intreatment/<br>https://www.csfd.cz/vod/hbo-max/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (5x)<br>Critics Choice Awards (1x)<br>;Golden Globes (1x)<br>
368751;Pan Nakládačka;2013;81.6021602160216;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/583/158583234_a18a34.jpg;https://www.csfd.cz/film/368751-pan-nakladacka/;USA;Animovaný / Komedie / Horor;Mr. Pickles;Mr. Pikles je border kolie šestiletého Tommyho Goodmana. Jsou to nejlepší kamarádi a zažívají spolu ty nejběžnější příběhy. Jenže Tommyho čtyřnohý přítel má svou tajemnou identitu. Identitu, která nenávidí a pohrdá vším a všemi. Vraždí, mrzačí a loví nevinné oběti. Tento dost nekorektní seriál přináší známá značka kreslených sérií pro dospělé Adult Swim. (geklon);V TV od 17.11.2019 Adult Swim;;4.0;32.0;Will Carsola, Mike L. Mayfield;Dave Stewart, Will Carsola, Frank Collison, Brooke Shields, Brett Gelman, John Ennis, Colton Dunn, Candi Milo, Kaitlyn Robrock, Frank Vincent;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
288861;Třída - Život poté;2010;82.03501094091904;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/601/158601038_62ce2d.jpg;https://www.csfd.cz/film/288861-trida-zivot-pote/;Estonsko;Drama / Psychologický;Klass - Elu pärast;Tři roky po veleúspěšném Raagově dramatu Třída vznikla originální série estonské televize, rozvádějící téma a následky masakru. V sedmi dílech jsou intenzivní formou zkoumány osudy a reakce Joosepova otce, třídní učitelky Laine, dále They, dívky přeživšího útočníka Kaspara, rodičů spolužáků, kteří šikanou při­vedli dvojici až ke kruté pomstě, nebo jednoho z nich Toomase, jenž si zvyká na nový život na škole pro hendikepované. V závě­rečném díle se vrací na scénu útočník Kaspar, který čeká ve vazbě na soudní proces. (Letní filmová škola);;střelba na škole;;;Ilmar Raag, Priit Valkna, Gerda Kordemets;Kadi Metsla, Paula Solvak, Laine Mägi, Vallo Kirs, Pärt Uusberg, Lauri Pedaja, Mikk Mägi, Riina Reis, Joonas Paas, Triin Tenso;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
305608;Šéf;2011;81.80764774044033;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/941/168941193_stq8ay.jpg;https://www.csfd.cz/film/305608-sef/;USA;Krimi / Drama;Boss;Starosta Chicaga Tom Kane (Kelsey Grammer) sa práve dozvedel, že trpí degeneratívnou neurologickou poruchou. Napriek tomu sa rozhodne ostať vo funkcii a nedať pred nikým najavo, že trpí nevyliečiteľnou chorobou. Vie o tom len jeho doktorka. Všetci v Kaneovom okolí sú priveľmi zaneprázdnení, aby si mohli všimnúť, že niečo nie je v poriadku. Podarí sa niekomu odhaliť jeho tajomstvo, aký dopad to bude mať na jeho politickú kariéru? (Tolf);V TV od 21.10.2011 Starz!;;2.0;18.0;Mario Van Peebles, Jim McKay, Gus Van Sant;Kelsey Grammer, Kathleen Robertson, Martin Donovan, Christian Stolte, Bill Stoneking, David Pasquesi, Jonathan Groff, Connie Nielsen, James Vincent Meredith, Troy Garity;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (1x)<br>;Golden Globes (1x)<br>
703221;Undercover;2019;81.85714285714286;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/164/797/164797670_9c634c.jpg;https://www.csfd.cz/film/703221-undercover/;Belgie / Nizozemsko / Německo;Drama / Krimi;Undercover;Tajní agenti v jednom karavanovém kempu předstírají, že jsou pár, aby pronikli do aktivit narkobarona, který tam tráví víkendy. Podle skutečných událostí. (Netflix);V TV od 08.05.2019 ZDFneo;policie, drogy, mafie, tajná policie;3.0;28.0;Eshref Reybrouck, Frank Devos, Cecilia Verheyden;Tom Waes, Anna Drijver, Frank Lammers, Elise Schaap, Raymond Thiry, Kris Cuppens, Huub Smit, Lieke van den Broek, Kevin Janssens, Rubén Ochandiano;;https://www.netflix.com/title/80225312<br>https://www.netflix.com/<br>https://www.netflix.com/title/80225312<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Canneseries (1x)<br>;
439157;Sněží!;2017;81.99192462987887;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/088/168088141_0vz34q.png;https://www.csfd.cz/film/439157-snezi/;USA;Krimi / Drama;Snowfall;"Los Angeles roku 1983. Přichází bouře s názvem kokain. Seriál Sněží! je hodinové drama odehrávající se na úsvitu kokainové epidemie, svými důsledky radikálně ovlivnila kulturu tohoto města. Příběh sleduje řadu postav, jejichž osudy naberou divoký kolizní kurs. Mezi nimi jsou: Franklin Saint, mladý pouliční podnikatel, který je posedlý touhou po moci; Gustavo ""El Oso"" Zapata, mexický zápasník zapletený v mocenském boji v rámci své zločinecké rodiny; Teddy McDonald, agent CIA s temnou minulostí, který se vrhne do špinavé operace s cílem financovat protivládní povstalce Contras v Nikaragui; a Lucia Villanuevová, rozvážná dcera mexického zločineckého bosse. (HBO Europe)";Na VOD od 22.02.2023 Hulu (Série 6);vražda, násilí, policie, zbraně, drogy, Los Angeles, CIA;6.0;60.0;John Singleton, Adil El Arbi, Bilall Fallah;Damson Idris, Amin Joseph, Emily Rios, Sergio Peris-Mencheta, Michael Hyatt, Tim Matheson, Mark Rolston, Darius McCrary, Andrea Bogart, Brett Rice;;https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-ce0d176c-8a89-454d-bed4-b91ad2e0d6e6<br>http://www.hbo.eu<br>http://www.hbo.eu<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-ce0d176c-8a89-454d-bed4-b91ad2e0d6e6<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
338392;Please Like Me;2013;82.81622911694511;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/764/162764501_suvesg.jpg;https://www.csfd.cz/film/338392-please-like-me/;Austrálie;Komedie / Drama;;Když se s 20letým Joshem rozejde jeho dívka, zjistí, že je vlastně gay, najde si atraktivní známost a nastěhuje se k němu i se svou matku, která má sebevražedné sklony. (Netflix);V TV od 28.02.2013 Australian Broadcasting Corporation;gay, deprese;4.0;32.0;Matthew Saville, Josh Thomas;Josh Thomas, Thomas Ward, Caitlin Stasey, David Roberts, Charlotte Nicdao, Wade Briggs, Charles Cottier, Ben Anderson, Hannah Gadsby, Tony Nikolakopoulos;;https://www.netflix.com/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
